year,state,lga,fvi_score,annual_rainfall_mm,population_exposed_thousands
2018,Benue,Oturkpo,1.48,624,12
2018,Benue,Tarka,9.34,635,9
2018,Benue,Gwer East,8.39,515,9
2018,Borno,Abadam,3.78,550,15
2018,Borno,Chibok,8.72,480,7
2018,Borno,Jere,3.11,532,13
2018,Borno,Maiduguri,2.59,571,15
2018,Borno,Kala/Balge,5.67,615,9
2018,Borno,Askira/Uba,7.88,572,16
2018,Borno,Marte,4.87,555,18
2018,Borno,Kaga,5.89,582,16
2018,Borno,Mobbar,5.09,520,14
2018,Borno,Bayo,7.94,602,15
2018,Borno,Monguno,6.9,537,18
2018,Borno,Ngala,3.68,546,9
2018,Borno,Nganzai,1.74,523,12
2018,Borno,Hawul,6.44,508,18
2018,Borno,Gwoza,6.78,640,16
2018,Borno,Guzamala,2.33,606,15
2018,Borno,Shani,6.37,643,10
2018,Borno,Gubio,9.83,603,14
2018,Borno,Dikwa,7.77,503,19
2018,Borno,Kwaya Kusar,3.48,536,7
2018,Borno,Damboa,5.88,547,15
2018,Borno,Kukawa,7.45,602,16
2018,Borno,Konduga,5.32,2572,42
2018,Borno,Mafa,1.9,2087,17
2018,Borno,Biu,6.92,2305,28
2018,Borno,Magumeri,8.58,2814,18
2018,Borno,Bama,7.84,2287,32
2018,Cross River,Calabar South,3.24,2639,28
2018,Cross River,Calabar South,6.2,2321,40
2018,Cross River,Ogoja,9.03,2465,25
2018,Cross River,Obubra,3.3,2751,39
2018,Cross River,Abi,4.53,2408,30
2018,Cross River,Etung,9.08,2083,32
2018,Cross River,Obanliku,5.28,2421,16
2018,Cross River,Akamkpa,1.6,2742,26
2018,Cross River,Yakurr,2.29,2084,21
2018,Cross River,Yala,5.84,2595,22
2018,Cross River,Boki,5.56,2122,24
2018,Cross River,Ikom,3.39,2726,18
2018,Cross River,Obudu,6.71,2719,20
2018,Cross River,Odukpani,5.18,2637,37
2018,Cross River,Akpabuyo,1.98,3108,25
2018,Cross River,Bekwara,4.82,3105,28
2018,Cross River,Bakassi,1.58,3156,45
2018,Cross River,Bakassi,4.55,2964,34
2018,Cross River,Biase,2.3,3097,22
2018,Cross River,Calabar-Municipal,6.66,2916,45
2018,Delta,Isoko North,2.84,3193,38
2018,Delta,Aniocha South,2.24,3383,37
2018,Delta,Bomadi,4.76,3114,17
2018,Delta,Ndokwa East,6.59,3241,47
2018,Delta,Ndokwa West,4.29,2720,46
2018,Delta,Uvwie,4.31,3227,28
2018,Delta,Aniocha North,6.85,3150,17
2018,Delta,Oshimili South,4.42,3309,18
2018,Delta,Bomadi,7.95,3077,33
2018,Delta,Bomadi,9.08,2684,27
2018,Delta,Bomadi,8.17,2823,27
2018,Delta,Oshimili North,9.24,2998,39
2018,Delta,Okpe,7.35,3365,39
2018,Delta,Warri South West,4.33,3261,46
2018,Delta,Warri South,6.84,2893,38
2018,Delta,Ukwuani,9.4,2568,39
2018,Delta,Isoko South,1.37,2650,21
2018,Delta,Ika North East,9.49,3109,42
2018,Delta,Warri North,8.17,1470,19
2018,Delta,Ika South,8.99,1833,26
2018,Delta,Ethiope East,2.09,1428,28
2018,Delta,Ethiope East,3.02,1857,24
2018,Delta,Isoko North,4.67,1589,17
2018,Delta,Patani,1.12,1518,16
2018,Delta,Ethiope West,1.97,1479,24
2018,Delta,Ughelli South,8.7,1590,33
2018,Delta,Burutu,1.13,1805,20
2018,Delta,Ughelli North,8.25,1434,34
2018,Delta,Sapele,5.16,1659,26
2018,Delta,Udu,5.68,1447,19
2018,Ebonyi,Abakaliki,7.15,1651,29
2018,Ebonyi,Izzi,2.5,2010,24
2018,Ebonyi,Ohaukwu,3.55,2227,39
2018,Ebonyi,Ivo,4.26,1750,37
2018,Ebonyi,Ikwo,5.5,1784,22
2018,Ebonyi,Afikpo North,6.86,1733,36
2018,Ebonyi,Ishielu,6.41,2099,30
2018,Ebonyi,Ebonyi,5.46,2209,36
2018,Ebonyi,Afikpo South,7.77,2247,18
2018,Ebonyi,Ezza South,3.31,2140,33
2018,Ebonyi,Ohaozara,3.07,1834,14
2018,Ebonyi,Ezza North,1.91,2052,33
2018,Ebonyi,Onicha,9.97,1918,25
2018,Edo,Egor,4.05,1907,33
2018,Edo,Oredo,7.07,2114,19
2018,Edo,Owan West,2.61,1843,32
2018,Edo,Esan South East,2.64,2071,36
2018,Edo,Esan North East,4.53,2218,26
2018,Edo,Esan Central,6.36,2180,32
2018,Edo,Owan East,5.75,1298,14
2018,Edo,Uhunmwonde,8.27,1192,14
2018,Edo,Etsako West,4.88,1165,19
2018,Edo,Ikpoba-Okha,2.18,1216,19
2018,Edo,Etsako East,7.04,1230,17
2018,Edo,Etsako Central,6.29,1304,16
2018,Edo,Orhionmwon,8.92,1225,16
2018,Edo,Akoko-Edo,3.71,1428,15
2018,Edo,Igueben,6.96,1132,17
2018,Edo,Ovia North East,2.6,1229,13
2018,Edo,Ovia South West,1.39,1344,12
2018,Edo,Esan West,1.88,1365,14
2018,Ekiti,Ikole,8.95,1406,8
2018,Ekiti,Ilejemeji,2.66,1501,10
2018,Ekiti,Moba,1.23,1306,20
2018,Ekiti,Ido-Osi,4.3,1209,20
2018,Ekiti,Ikere,6.97,1734,26
2018,Ekiti,Ekiti East,1.36,1608,27
2018,Ekiti,Irepodun/Ifelodun,2.73,1603,15
2018,Ekiti,Ekiti South West,2.91,1425,23
2018,Ekiti,Efon,6.83,1541,15
2018,Ekiti,Ise/Orun,7.75,1620,25
2018,Ekiti,Emure,6.16,1714,21
2018,Ekiti,Oye,5.03,1636,16
2018,Ekiti,Ado Ekiti,4,1564,22
2018,Ekiti,Ijero,7.14,1794,21
2018,Ekiti,Ekiti West,3.73,1701,11
2018,Ekiti,Aiyekire (Gbonyin),6.57,1524,23
2018,Enugu,Udi,9.2,1378,22
2018,Enugu,Udenu,5.73,1723,21
2018,Enugu,Enugu East,5.12,1691,16
2018,Enugu,Ezeagu,6.02,1572,13
2018,Enugu,Aninri,2,1548,22
2018,Enugu,Oji-River,9.98,1128,40
2018,Enugu,Enugu South,7.45,1259,32
2018,Enugu,Enugu North,8.88,1405,25
2018,Enugu,Nkanu East,6.37,1118,32
2018,Enugu,Nsukka,2.94,1226,64
2018,Enugu,Nkanu West,9.76,1391,47
2018,Enugu,Uzo-Uwani,9.49,652,14
2018,Enugu,Awgu,9.85,757,14
2018,Enugu,Isi-Uzo,5.96,731,27
2018,Enugu,Igbo-Eze South,6.35,722,29
2018,Enugu,Igbo-Eze North,6.01,670,20
2018,Enugu,Igbo-Etiti,2.59,799,26
2018,Federal Capital Territory,Bwari,6.37,738,13
2018,Federal Capital Territory,Abaji,1.27,826,29
2018,Federal Capital Territory,Abuja Municipal,3.7,798,21
2018,Federal Capital Territory,Kuje,5.85,782,35
2018,Federal Capital Territory,Gwagwalada,9.94,759,31
2018,Federal Capital Territory,Kwali,6.26,2377,18
2018,Gombe,Akko,2.08,1986,22
2018,Gombe,Shomgom,7.98,2137,13
2018,Gombe,Balanga,9.63,2299,18
2018,Gombe,Billiri,8.14,2341,24
2018,Gombe,Funakaye,1.25,1871,26
2018,Gombe,Gombe,6.06,2195,18
2018,Gombe,Nafada,1.78,1817,21
2018,Gombe,Yamaltu/Deba,9.66,1970,10
2018,Gombe,Kwami,3.88,2088,20
2018,Gombe,Kaltungo,4.33,2144,13
2018,Gombe,Dukku,6.71,2190,21
2018,Imo,Njaba,3.74,2327,24
2018,Imo,Ngor-Okpala,1.18,2327,26
2018,Imo,Mbaitoli,9.58,2037,21
2018,Imo,Orlu,5.08,1945,12
2018,Imo,Ahiazu-Mbaise,3.32,2022,21
2018,Imo,Isu,5.87,2312,12
2018,Imo,Okigwe,9.86,2136,15
2018,Imo,Owerri-Municipal,2.15,2314,21
2018,Imo,Ezinihitte,8.85,2119,22
2018,Imo,Oru West,2.86,1991,21
2018,Imo,Ohaji/Egbema,8.66,1981,11
2018,Imo,Owerri West,4.95,2208,12
2018,Imo,Unuimo,7.85,1882,20
2018,Imo,Orsu,4.78,2301,12
2018,Imo,Nwangele,8.21,1922,15
2018,Imo,Nkwerre,8.46,687,9
2018,Imo,Owerri North,6.82,670,8
2018,Imo,Oru East,8.06,829,11
2018,Imo,Oguta,4.32,696,7
2018,Imo,Ideato North,5.44,723,12
2018,Imo,Ideato South,3.27,845,8
2018,Imo,Obowo,6.71,835,19
2018,Imo,Ehime-Mbano,8.96,675,11
2018,Imo,Ikeduru,9.48,750,20
2018,Imo,Isiala Mbano,1.47,736,18
2018,Imo,Aboh-Mbaise,5.47,801,8
2018,Imo,Ihitte/Uboma,3.55,684,18
2018,Jigawa,Buji,4.42,802,12
2018,Jigawa,Gwaram,6.69,727,21
2018,Jigawa,Gwiwa,8.23,818,17
2018,Jigawa,Hadejia,7.72,697,10
2018,Jigawa,Auyo,8.73,716,11
2018,Jigawa,Kiri Kasamma,1.26,874,12
2018,Jigawa,Sule-Tankarkar,9.72,712,15
2018,Jigawa,Garki,2.13,842,17
2018,Jigawa,Kafin Hausa,9.17,833,20
2018,Jigawa,Gagarawa,3.21,883,16
2018,Jigawa,Babura,9.01,845,16
2018,Jigawa,Taura,8.96,736,20
2018,Jigawa,Kazaure,5.52,779,21
2018,Jigawa,Miga,8.19,816,21
2018,Jigawa,Dutse,9.15,763,11
2018,Jigawa,Kiyawa,9.96,1027,23
2018,Jigawa,Ringim,3.03,1224,25
2018,Jigawa,Kaugama,5.43,1202,22
2018,Jigawa,Jahun,2.57,1098,19
2018,Jigawa,Maigatari,6.71,1111,11
2018,Jigawa,Gumel,6.09,1049,15
2018,Jigawa,Birni Kudu,6.07,1169,21
2018,Jigawa,Biriniwa,4.49,1223,26
2018,Jigawa,Malam Madori,7.51,1129,27
2018,Jigawa,Roni,4.79,1031,20
2018,Jigawa,Yankwashi,3.05,1118,11
2018,Jigawa,Guri,5.19,991,16
2018,Kaduna,Giwa,1.32,996,24
2018,Kaduna,Soba,3.51,1193,11
2018,Kaduna,Ikara,5.43,1011,16
2018,Kaduna,Jema'a,2.03,966,18
2018,Kaduna,Kaura,6.13,1173,25
2018,Kaduna,Kubau,2.16,1235,25
2018,Kaduna,Kudan,5.48,1022,11
2018,Kaduna,Kachia,6.62,1073,22
2018,Kaduna,Birnin-Gwari,7.51,1234,11
2018,Kaduna,Kaduna South,5.76,946,27
2018,Kaduna,Chikun,3.15,1218,30
2018,Kaduna,Igabi,2.01,837,7
2018,Kaduna,Kaduna North,1.69,704,10
2018,Kaduna,Lere,3.89,878,15
2018,Kaduna,Kajuru,6.66,837,15
2018,Kaduna,Markafi,7.72,925,12
2018,Kaduna,Kauru,6.15,714,14
2018,Kaduna,Kagarko,3.03,842,13
2018,Kaduna,Sabon-Gari,3.56,822,15
2018,Kaduna,Sanga,5.52,710,11
2018,Kaduna,Jaba,8.14,726,13
2018,Kaduna,Zango-Kataf,1.31,883,17
2018,Kaduna,Zaria,8,920,17
2018,Kano,Dawakin Tofa,2.5,868,16
2018,Kano,Doguwa,4.53,920,15
2018,Kano,Dala,7.77,824,8
2018,Kano,Makoda,1.09,937,14
2018,Kano,Fagge,6.74,790,18
2018,Kano,Gabasawa,4.82,894,8
2018,Kano,Kunchi,6.09,856,11
2018,Kano,Garko,6.42,703,13
2018,Kano,Nasarawa,8.62,811,9
2018,Kano,Garum Mallam,3.68,854,17
2018,Kano,Ungogo,8.31,887,16
2018,Kano,Kibiya,7.95,713,17
2018,Kano,Kura,4.8,755,11
2018,Kano,Gaya,1.64,729,18
2018,Kano,Kiru,9.07,868,17
2018,Kano,Gezawa,3.95,846,6
2018,Kano,Ajingi,3.35,877,9
2018,Kano,Madobi,2.84,799,6
2018,Kano,Tudun Wada,5.95,744,10
2018,Kano,Tsanyawa,6.55,738,9
2018,Kano,Tofa,1.23,778,8
2018,Kano,Albasu,1.36,870,12
2018,Kano,Kabo,2.67,911,10
2018,Kano,Minjibir,3.02,778,17
2018,Kano,Tarauni,8.91,908,8
2018,Kano,Takai,7.99,749,9
2018,Kano,Sumaila,8.07,729,15
2018,Kano,Kumbotso,9.99,923,14
2018,Kano,Shanono,1.51,927,18
2018,Kano,Warawa,2.39,827,18
2018,Kano,Bagwai,1.89,818,8
2018,Kano,Bebeji,4.94,864,10
2018,Kano,Bichi,4.71,605,10
2018,Kano,Rogo,2.32,780,12
2018,Kano,Wudil,6.64,674,13
2018,Kano,Rimin Gado,5.35,630,11
2018,Kano,Rano,7.93,744,5
2018,Kano,Gwale,7.01,744,5
2018,Kano,Bunkure,9.12,770,11
2018,Kano,Gwarzo,8.14,685,6
2018,Kano,Dambatta,3.3,736,8
2018,Kano,Dawakin Kudu,4.03,590,14
2018,Kano,Kano Municipal,5.01,595,11
2018,Kano,Karaye,9.78,652,9
2018,Katsina,Dutsi,6.42,657,5
2018,Katsina,Malumfashi,7.35,693,9
2018,Katsina,Rimi,6.86,723,12
2018,Katsina,Kurfi,5.16,685,12
2018,Katsina,Daura,6.64,620,7
2018,Katsina,Danja,5.59,748,9
2018,Katsina,Dandume,7.95,630,11
2018,Katsina,Katsina,4.85,656,8
2018,Katsina,Safana,8.03,713,5
2018,Katsina,Sabuwa,8.46,744,5
2018,Katsina,Kusada,7.46,739,7
2018,Katsina,Dan Musa,9.15,594,5
2018,Katsina,Bindawa,5.83,765,8
2018,Katsina,Batagarawa,7.55,591,7
2018,Katsina,Charanchi,1.61,759,7
2018,Katsina,Mai'adua,7.37,581,9
2018,Katsina,Musawa,9.97,751,12
2018,Katsina,Ingawa,5.15,668,12
2018,Katsina,Jibia,8.85,619,5
2018,Katsina,Baure,4.21,766,12
2018,Katsina,Sandamu,5.53,720,5
2018,Katsina,Bakori,3.97,751,7
2018,Katsina,Batsari,2.38,999,16
2018,Katsina,Matazu,3.52,875,18
2018,Katsina,Dutsin-Ma,9.83,1051,12
2018,Katsina,Kafur,6.36,816,9
2018,Katsina,Faskari,8.09,828,10
2018,Katsina,Mashi,4.65,1057,26
2018,Katsina,Kankia,1.35,1039,26
2018,Katsina,Kaita,2.12,948,22
2018,Katsina,Funtua,5.13,957,16
2018,Katsina,Kankara,9.66,867,25
2018,Katsina,Zango,5.85,854,14
2018,Katsina,Mani,9.26,942,19
2018,Kebbi,Dandi,3.62,920,13
2018,Kebbi,Jega,5.43,1040,12
2018,Kebbi,Bunza,9.77,1019,27
2018,Kebbi,Ngaski,8.9,970,12
2018,Kebbi,Birnin Kebbi,8.7,973,27
2018,Kebbi,Fakai,5.31,941,25
2018,Kebbi,Koko/Besse,6.51,1018,26
2018,Kebbi,Aleiro,6.28,833,27
2018,Kebbi,Zuru,9.33,1057,14
2018,Kebbi,Sakaba,1.2,1135,23
2018,Kebbi,Gwandu,4.66,1510,14
2018,Kebbi,Augie,3.7,1203,36
2018,Kebbi,Argungu,4.78,1312,17
2018,Kebbi,Kalgo,1.65,1356,28
2018,Kebbi,Wasagu/Danko,9.44,1256,16
2018,Kebbi,Arewa-Dandi,3.31,1409,38
2018,Kebbi,Suru,1.94,1287,30
2018,Kebbi,Maiyama,9.87,1151,37
2018,Kebbi,Bagudo,6.44,1279,31
2018,Kebbi,Shanga,8.5,1424,15
2018,Kebbi,Yauri,1.34,1320,38
2018,Kogi,Ajaokuta,5.12,1157,39
2018,Kogi,Ankpa,6.84,1365,38
2018,Kogi,Dekina,1.2,1466,33
2018,Kogi,Ibaji,1.65,1166,13
2018,Kogi,Idah,9.36,1317,16
2018,Kogi,Kogi,7.71,1241,36
2018,Kogi,Bassa,7.01,1255,40
2018,Kogi,Yagba East,7.36,1426,22
2018,Kogi,Yagba West,2.99,1260,20
2018,Kogi,Lokoja,1.55,1110,19
2018,Kogi,Mopa-Muro,6.5,974,28
2018,Kogi,Ofu,3.91,941,30
2018,Kogi,Ogori/Magongo,8.67,1178,17
2018,Kogi,Okehi,1.94,988,20
2018,Kogi,Okene,8.56,1072,14
2018,Kogi,Olamabolo,4.55,1245,12
2018,Kogi,Omala,2.84,974,29
2018,Kogi,Igalamela-Odolu,9.96,1235,24
2018,Kogi,Kabba/Bunu,6.88,1181,10
2018,Kogi,Ijumu,8.52,1155,25
2018,Kogi,Adavi,7.29,1139,12
2018,Kwara,Ekiti,7.4,1207,10
2018,Kwara,Edu,6.19,1240,14
2018,Kwara,Offa,9.82,973,16
2018,Kwara,Ilorin South,5.62,973,22
2018,Kwara,Pategi,9.15,1815,45
2018,Kwara,Ilorin East,4.75,1491,56
2018,Kwara,Kaiama,5.29,1697,31
2018,Kwara,Ilorin East,6.92,1594,39
2018,Kwara,Ilorin West,3.57,1533,52
2018,Kwara,Baruten,4.56,1858,62
2018,Kwara,Ifelodun,7.24,1996,71
2018,Kwara,Oyun,1.65,1661,28
2018,Kwara,Oke-Ero,5.59,1910,38
2018,Kwara,Moro,4.37,1615,58
2018,Kwara,Ilorin South,1.8,1781,28
2018,Kwara,Isin,7.01,1586,26
2018,Kwara,Irepodun,6.2,1621,67
2018,Kwara,Asa,5.26,1727,42
2018,Lagos,Ikorodu,3.28,1647,46
2018,Lagos,Ajeromi-Ifelodun,3.13,1922,72
2018,Lagos,Ikeja,1.64,1929,53
2018,Lagos,Badagry,3.68,1918,50
2018,Lagos,Alimosho,1.59,1655,31
2018,Lagos,Amuwo-Odofin,7.92,1554,38
2018,Lagos,Eti-Osa,5.06,1077,23
2018,Lagos,Shomolu,8.88,1231,28
2018,Lagos,Apapa,9.33,1111,23
2018,Lagos,Surulere,2.79,1329,28
2018,Lagos,Oshodi-Isolo,4.57,1049,29
2018,Lagos,Agege,8.65,1108,26
2018,Lagos,Kosofe,1.67,1059,21
2018,Lagos,Ifako-Ijaye,6.19,1179,26
2018,Lagos,Lagos Mainland,4.54,1226,24
2018,Lagos,Lagos Island,6.85,1224,14
2018,Lagos,Ibeju/Lekki,1.72,1272,29
2018,Lagos,Mushin,8.17,1252,18
2018,Lagos,Ojo,7.79,1138,25
2018,Lagos,Epe,8.65,1042,34
2018,Lagos,Ibeju/Lekki,4.28,1285,31
2018,Nasarawa,Wamba,7.85,1201,29
2018,Nasarawa,Karu,5.87,1131,20
2018,Nasarawa,Lafia,2.44,1291,16
2018,Nasarawa,Nasarawa-Eggon,4.84,1322,26
2018,Nasarawa,Doma,9.35,1275,33
2018,Nasarawa,Toto,9.07,1122,14
2018,Nasarawa,Nasarawa,3.63,1075,14
2018,Nasarawa,Awe,3.47,1034,21
2018,Nasarawa,Akwanga,6.46,1319,29
2018,Nasarawa,Obi,1.8,1191,31
2018,Nasarawa,Kokona,5.49,1183,16
2018,Nasarawa,Keffi,9.5,1262,33
2018,Nasarawa,Keana,9.99,1228,27
2018,Niger,Edati,5.54,1245,25
2018,Niger,Suleja,4.4,1099,19
2018,Niger,Muya,9.08,1279,19
2018,Niger,Bida,4.14,1131,17
2018,Niger,Mokwa,1.31,1079,31
2018,Niger,Shiroro,9.16,1016,21
2018,Niger,Mariga,3.51,1250,22
2018,Niger,Borgu,9.01,1038,22
2018,Niger,Bosso,4.69,1274,14
2018,Niger,Mashegu,1.08,1126,31
2018,Niger,Gbako,4.3,1376,20
2018,Niger,Lapai,5.95,1376,21
2018,Niger,Agwara,8.88,1465,23
2018,Niger,Chanchaga,9.12,1557,18
2018,Niger,Agaie,1.08,1377,31
2018,Niger,Tafa,4.43,1549,12
2018,Niger,Lavun,3.97,1645,24
2018,Niger,Gurara,9.92,1422,29
2018,Niger,Kontagora,6.46,1367,20
2018,Niger,Rafi,8.49,1574,18
2018,Niger,Wushishi,4.73,1270,21
2018,Niger,Magama,5.09,1460,24
2018,Niger,Paikoro,1.36,1418,19
2018,Niger,Rijau,4.16,1334,27
2018,Niger,Katcha,7.86,1280,25
2018,Ogun,Remo North,8.68,1548,16
2018,Ogun,Ifo,7.16,1389,20
2018,Ogun,Egbado South,9.67,1501,24
2018,Ogun,Egbado North,6.69,1634,28
2018,Ogun,Ijebu North East,7.07,1480,29
2018,Ogun,Ikenne,9.45,1521,28
2018,Ogun,Ijebu North,5.98,1630,25
2018,Ogun,Ijebu East,8.74,1428,16
2018,Ogun,Ado-Odo/Ota,4.06,1486,18
2018,Ogun,Abeokuta North,4.42,1758,20
2018,Ogun,Abeokuta South,7.98,1743,19
2018,Ogun,Ipokia,6.32,1669,11
2018,Ogun,Obafemi-Owode,1.37,1878,12
2018,Ogun,Imeko-Afon,2.74,1878,13
2018,Ogun,Odeda,3.28,1838,24
2018,Ogun,Ijebu Ode,1.22,1923,28
2018,Ogun,Odogbolu,2.61,1909,12
2018,Ogun,Shagamu,1.05,1625,24
2018,Ogun,Ogun waterside,2.08,1567,25
2018,Ogun,Ewekoro,7.19,1817,22
2018,Ondo,Akoko South West,3.3,1661,31
2018,Ondo,Akoko South East,9.04,1746,23
2018,Ondo,Idanre,4.68,1560,11
2018,Ondo,Ondo East,7.7,1220,9
2018,Ondo,Okitipupa,3.66,1577,7
