year,state,lga,fvi_score,annual_rainfall_mm,population_exposed_thousands
2017,Akwa Ibom,Ibesikpo Asutan,9.32,869,132
2017,Akwa Ibom,Ibiono Ibom,6.31,820,59
2017,Akwa Ibom,Ika,1,186,127
2017,Akwa Ibom,Ikono,4.13,463,170
2017,Akwa Ibom,Ikot Abasi,3.02,346,165
2017,Akwa Ibom,Ikot Ekpene,7.53,363,58
2017,Akwa Ibom,Ini,5.58,136,199
2017,Akwa Ibom,Itu,2.95,916,90
2017,Akwa Ibom,Mbo,4.89,344,64
2017,Akwa Ibom,Mkpat Enin,4.52,694,140
2017,Akwa Ibom,Nsit Atai,3.34,858,195
2017,Akwa Ibom,Nsit Ibom,2.37,317,200
2017,Akwa Ibom,Nsit Ubium,6.7,429,119
2017,Akwa Ibom,Obot Akara,5.72,939,105
2017,Akwa Ibom,Okobo,3.43,786,114
2017,Akwa Ibom,Onna,7.55,751,157
2017,Akwa Ibom,Oron,1.8,149,65
2017,Akwa Ibom,Oruk Anam,7.72,384,161
2017,Akwa Ibom,Udung Uko,6.28,403,182
2017,Akwa Ibom,Ukanafun,7.49,966,161
2017,Akwa Ibom,Uruan,6.66,736,197
2017,Akwa Ibom,Urue-Offong/Oruko,1.45,512,155
2017,Akwa Ibom,Uyo,5.77,458,78
2017,Anambra,Aguata,2,395,180
2017,Anambra,Anambra East,1.57,758,131
2017,Anambra,Anambra West,2.74,816,74
2017,Anambra,Anaocha,9.99,803,63
2017,Anambra,Awka North,8.13,372,118
2017,Anambra,Awka South,1.68,531,137
2017,Anambra,Ayamelum,8.9,311,50
2017,Anambra,Dunukofia,5.69,668,131
2017,Anambra,Ekwusigo,9.55,790,108
2017,Anambra,Idemili North,5.19,109,160
2017,Anambra,Idemili South,4.25,340,82
2017,Anambra,Ihiala,5.52,609,60
2017,Anambra,Njikoka,9.04,126,129
2017,Anambra,Nnewi North,3.51,586,198
2017,Anambra,Nnewi South,4.02,997,104
2017,Anambra,Ogbaru,8.49,916,179
2017,Anambra,Onitsha North,7.73,469,194
2017,Anambra,Onitsha South,3.51,388,66
2017,Anambra,Orumba North,2.35,872,149
2017,Anambra,Orumba South,9.32,255,51
2017,Anambra,Oyi,2.23,691,140
2017,Bauchi,Alkaleri,6.13,562,174
2017,Bauchi,Bauchi,8.75,649,153
2017,Bauchi,Bogoro,8.24,468,149
2017,Bauchi,Damban,5.17,411,169
2017,Bauchi,Darazo,8.12,833,86
2017,Bauchi,Dass,9.67,365,191
2017,Bauchi,Gamawa,9.39,408,59
2017,Bauchi,Ganjuwa,1.14,623,67
2017,Bauchi,Giade,8.41,125,79
2017,Bauchi,Itas/Gadau,6.01,617,181
2017,Bauchi,Jama'are,4.6,167,74
2017,Bauchi,Katagum,8.34,275,50
2017,Bauchi,Kirfi,5.63,273,87
2017,Bauchi,Misau,5.02,698,165
2017,Bauchi,Ningi,7,201,152
2017,Bauchi,Shira,7.8,997,176
2017,Bauchi,Tafawa-Balewa,6.69,566,173
2017,Bauchi,Toro,5.37,552,107
2017,Bauchi,Warji,9.53,349,117
2017,Bauchi,Zaki,6.08,383,122
2017,Bayelsa,Brass,9.85,507,73
2017,Bayelsa,Ekeremor,5.92,954,189
2017,Bayelsa,Kolokuma/Opokuma,2.23,828,141
2017,Bayelsa,Nembe,8.05,285,88
2017,Bayelsa,Ogbia,3.53,484,119
2017,Bayelsa,Sagbama,1.72,370,171
2017,Bayelsa,Southern Ijaw,2.83,795,135
2017,Bayelsa,Yenegoa,5.74,533,54
2017,Benue,Ado,5.41,771,104
2017,Benue,Agatu,5.39,831,53
2017,Benue,Apa,5.75,408,70
2017,Benue,Buruku,4.22,426,127
2017,Benue,Gboko,1.01,716,172
2017,Benue,Guma,7.17,153,90
2017,Benue,Gwer East,2.86,910,182
2017,Benue,Gwer West,4.78,785,66
2017,Benue,Katsina-Ala,5.53,652,178
2017,Benue,Konshisha,8.57,445,193
2017,Benue,Kwande,7.48,895,199
2017,Benue,Logo,3.9,944,181
2017,Benue,Makurdi,1.42,478,71
2017,Benue,Obi,1.2,785,151
2017,Benue,Ogbadibo,4.5,679,115
2017,Benue,Ohimini,6.98,1000,108
2017,Benue,Oju,8.54,246,170
2017,Benue,Okpokwu,1.93,289,97
2017,Benue,Oturkpo,2.49,121,73
2017,Benue,Tarka,1.13,137,187
2017,Benue,Ukum,9.67,113,198
2017,Benue,Ushongo,3.54,860,193
2017,Benue,Vandeikya,7.86,623,177
2017,Borno,Abadam,1.82,214,50
2017,Borno,Askira/Uba,3.77,515,86
2017,Borno,Bama,2.59,611,172
2017,Borno,Bayo,1.27,191,80
2017,Borno,Biu,1.47,652,79
2017,Borno,Chibok,1.58,674,117
2017,Borno,Damboa,6.33,655,114
2017,Borno,Dikwa,1.53,278,145
2017,Borno,Gubio,6.4,504,80
2017,Borno,Guzamala,3.04,161,133
2017,Borno,Gwoza,8.51,916,65
2017,Borno,Hawul,7.1,421,177
2017,Borno,Jere,2.96,821,145
2017,Borno,Kaga,1.17,912,75
2017,Borno,Kala/Balge,1.79,650,123
2017,Borno,Konduga,8.7,236,96
2017,Borno,Kukawa,8.52,911,163
2017,Borno,Kwaya Kusar,2.01,682,108
2017,Borno,Mafa,8.36,736,141
2017,Borno,Magumeri,5.61,568,192
2017,Borno,Maiduguri,2.73,155,158
2017,Borno,Marte,4.61,829,149
2017,Borno,Mobbar,8.89,944,132
2017,Borno,Monguno,8.86,427,134
2017,Borno,Ngala,8.67,949,92
2017,Borno,Nganzai,7.78,529,132
2017,Borno,Shani,7.63,908,156
2017,Cross River,Abi,4.63,671,51
2017,Cross River,Akamkpa,9.23,120,51
2017,Cross River,Akpabuyo,6.83,570,185
2017,Cross River,Bakassi,9.89,335,100
2017,Cross River,Bekwara,2.63,312,114
2017,Cross River,Biase,3.79,141,178
2017,Cross River,Boki,6.78,633,191
2017,Cross River,Calabar South,5.52,146,80
2017,Cross River,Calabar-Municipal,8.92,841,170
2017,Cross River,Etung,6.81,371,151
2017,Cross River,Ikom,9.58,297,142
2017,Cross River,Obanliku,3.68,620,142
2017,Cross River,Obubra,3.6,380,150
2017,Cross River,Obudu,3.84,241,198
2017,Cross River,Odukpani,9.3,781,115
2017,Cross River,Ogoja,2.49,382,81
2017,Cross River,Yakurr,6.14,565,110
2017,Cross River,Yala,4.03,998,75
2017,Delta,Aniocha North,5.84,407,126
2017,Delta,Aniocha South,6.63,814,123
2017,Delta,Bomadi,2.12,277,110
2017,Delta,Burutu,2.98,593,160
2017,Delta,Ethiope East,1.89,564,79
2017,Delta,Ethiope West,9,551,159
2017,Delta,Ika North East,3.72,365,153
2017,Delta,Ika South,7.21,188,169
2017,Delta,Isoko North,1.55,213,163
2017,Delta,Isoko South,1.96,249,109
2017,Delta,Ndokwa East,8.58,844,136
2017,Delta,Ndokwa West,1.14,270,124
2017,Delta,Okpe,6.02,221,151
2017,Delta,Oshimili North,8.43,881,155
2017,Delta,Oshimili South,7.35,978,99
2017,Delta,Patani,4.63,125,121
2017,Delta,Sapele,8.54,434,183
2017,Delta,Udu,3.93,900,63
2017,Delta,Ughelli North,1.76,152,60
2017,Delta,Ughelli South,7.16,924,132
2017,Delta,Ukwuani,5.31,436,64
2017,Delta,Uvwie,9.29,634,162
2017,Delta,Warri North,1.33,502,138
2017,Delta,Warri South,3.55,732,167
2017,Delta,Warri South West,8.31,931,57
2017,Ebonyi,Abakaliki,9.35,674,108
2017,Ebonyi,Afikpo North,4.31,457,195
2017,Ebonyi,Afikpo South,5.09,545,106
2017,Ebonyi,Ebonyi,9.84,583,143
2017,Ebonyi,Ezza North,3.16,530,170
2017,Ebonyi,Ezza South,8.79,231,107
2017,Ebonyi,Ikwo,1.78,734,173
2017,Ebonyi,Ishielu,7.94,223,96
2017,Ebonyi,Ivo,1.62,216,152
2017,Ebonyi,Izzi,8.84,620,189
2017,Ebonyi,Ohaozara,6.96,458,161
2017,Ebonyi,Ohaukwu,6.78,448,146
2017,Ebonyi,Onicha,8.32,956,63
2017,Edo,Akoko-Edo,5.49,760,165
2017,Edo,Egor,7.65,491,131
2017,Edo,Esan Central,7.02,462,107
2017,Edo,Esan North East,7.84,108,132
2017,Edo,Esan South East,9.44,245,108
2017,Edo,Esan West,5.41,287,61
2017,Edo,Etsako Central,7.75,101,192
2017,Edo,Etsako East,4.51,122,179
2017,Edo,Etsako West,9.26,724,157
2017,Edo,Igueben,7.54,229,179
2017,Edo,Ikpoba-Okha,1.88,982,164
2017,Edo,Oredo,7.57,613,148
2017,Edo,Orhionmwon,2.94,626,167
2017,Edo,Ovia North East,7.17,528,83
2017,Edo,Ovia South West,6.54,759,89
2017,Edo,Owan East,5.16,396,74
2017,Edo,Owan West,1.93,107,197
2017,Edo,Uhunmwonde,2.4,482,74
2017,Ekiti,Ado Ekiti,7.31,661,187
2017,Ekiti,Aiyekire (Gbonyin),3.79,627,93
2017,Ekiti,Efon,3.92,512,73
2017,Ekiti,Ekiti East,7.77,637,55
2017,Ekiti,Ekiti South West,3.37,898,91
2017,Ekiti,Ekiti West,5.19,898,179
2017,Ekiti,Emure,6.27,451,189
2017,Ekiti,Ido-Osi,4.11,453,110
2017,Ekiti,Ijero,4.03,393,122
2017,Ekiti,Ikere,9.48,913,142
2017,Ekiti,Ikole,9.43,695,189
2017,Ekiti,Ilejemeji,3.57,717,200
2017,Ekiti,Irepodun/Ifelodun,2.43,709,64
2017,Ekiti,Ise/Orun,7.59,938,157
2017,Ekiti,Moba,4.96,856,68
2017,Ekiti,Oye,1.57,321,159
2017,Enugu,Aninri,9.57,427,87
2017,Enugu,Awgu,3.38,595,159
2017,Enugu,Enugu East,2.34,170,119
2017,Enugu,Enugu North,3.49,381,193
2017,Enugu,Enugu South,9.09,413,188
2017,Enugu,Ezeagu,6.15,220,70
2017,Enugu,Igbo-Etiti,5.29,972,158
2017,Enugu,Igbo-Eze North,8.67,525,167
2017,Enugu,Igbo-Eze South,2.99,767,148
2017,Enugu,Isi-Uzo,6.59,384,148
2017,Enugu,Nkanu East,7.79,715,188
2017,Enugu,Nkanu West,7.84,404,133
2017,Enugu,Nsukka,2.61,426,66
2017,Enugu,Oji-River,2.26,233,154
2017,Enugu,Udenu,7.43,391,186
2017,Enugu,Udi,1.95,591,115
2017,Enugu,Uzo-Uwani,7.31,417,131
2017,Federal Capital Territory,Abaji,9.55,270,96
2017,Federal Capital Territory,Abuja Municipal,6.57,678,138
2017,Federal Capital Territory,Bwari,3.68,607,111
2017,Federal Capital Territory,Gwagwalada,2.71,610,61
2017,Federal Capital Territory,Kuje,4.78,650,168
2017,Federal Capital Territory,Kwali,2.95,967,178
2017,Gombe,Akko,6.65,229,93
2017,Gombe,Balanga,7.12,103,189
2017,Gombe,Billiri,6,166,85
2017,Gombe,Dukku,7.68,542,96
2017,Gombe,Funakaye,4.28,725,176
2017,Gombe,Gombe,1.05,676,53
2017,Gombe,Kaltungo,1.98,515,67
2017,Gombe,Kwami,6.43,721,119
2017,Gombe,Nafada,4.52,461,157
2017,Gombe,Shomgom,2.69,400,139
2017,Gombe,Yamaltu/Deba,5.61,221,127
2017,Imo,Aboh-Mbaise,3.93,300,131
2017,Imo,Ahiazu-Mbaise,2.68,768,139
2017,Imo,Ehime-Mbano,7.12,326,68
2017,Imo,Ezinihitte,7.09,119,187
2017,Imo,Ideato North,5.37,657,112
2017,Imo,Ideato South,8.46,302,107
2017,Imo,Ihitte/Uboma,8.5,419,86
2017,Imo,Ikeduru,9.8,464,98
2017,Imo,Isiala Mbano,5.05,962,164
2017,Imo,Isu,5.75,801,80
2017,Imo,Mbaitoli,8.67,942,162
2017,Imo,Ngor-Okpala,5.26,577,153
2017,Imo,Njaba,5.94,923,64
2017,Imo,Nkwerre,9.95,791,128
2017,Imo,Nwangele,6.17,858,134
2017,Imo,Obowo,8.91,873,169
2017,Imo,Oguta,6.1,142,86
2017,Imo,Ohaji/Egbema,1.1,921,163
2017,Imo,Okigwe,9.57,628,175
2017,Imo,Orlu,1.7,803,69
2017,Imo,Orsu,1.65,957,96
2017,Imo,Oru East,4.94,319,165
2017,Imo,Oru West,6.14,371,56
2017,Imo,Owerri North,5.02,487,126
2017,Imo,Owerri West,5.37,661,119
2017,Imo,Owerri-Municipal,6.38,336,152
2017,Imo,Unuimo,8.46,980,67
2017,Jigawa,Auyo,2.14,794,168
2017,Jigawa,Babura,1.44,819,127
2017,Jigawa,Biriniwa,3.44,815,179
2017,Jigawa,Birni Kudu,9.58,403,157
2017,Jigawa,Buji,5.41,959,79
2017,Jigawa,Dutse,2.24,833,60
2017,Jigawa,Gagarawa,3.25,619,76
2017,Jigawa,Garki,6.35,197,61
2017,Jigawa,Gumel,3.06,563,141
2017,Jigawa,Guri,2.77,155,169
2017,Jigawa,Gwaram,6.75,685,102
2017,Jigawa,Gwiwa,8.38,127,81
2017,Jigawa,Hadejia,4.35,805,146
2017,Jigawa,Jahun,9.51,465,132
2017,Jigawa,Kafin Hausa,7.01,363,100
2017,Jigawa,Kaugama,6.97,306,188
2017,Jigawa,Kazaure,3.21,241,141
2017,Jigawa,Kiri Kasamma,7.98,194,61
2017,Jigawa,Kiyawa,7.91,617,65
2017,Jigawa,Maigatari,6,331,51
2017,Jigawa,Malam Madori,9.06,834,187
2017,Jigawa,Miga,9.13,837,198
2017,Jigawa,Ringim,6.57,805,193
2017,Jigawa,Roni,6.64,314,88
2017,Jigawa,Sule-Tankarkar,8.24,267,179
2017,Jigawa,Taura,3.83,871,170
2017,Jigawa,Yankwashi,7.04,207,125
2017,Kaduna,Birnin-Gwari,9.96,272,160
2017,Kaduna,Chikun,4.96,250,170
2017,Kaduna,Giwa,9.76,442,193
2017,Kaduna,Igabi,8.42,394,117
2017,Kaduna,Ikara,5.39,387,151
2017,Kaduna,Jaba,3.6,628,180
2017,Kaduna,Jema'a,7.54,785,138
2017,Kaduna,Kachia,7.87,975,149
2017,Kaduna,Kaduna North,9.75,589,66
2017,Kaduna,Kaduna South,6.12,387,173
2017,Kaduna,Kagarko,3.73,118,180
2017,Kaduna,Kajuru,7.73,814,112
2017,Kaduna,Kaura,4.22,465,151
2017,Kaduna,Kauru,8.32,625,158
2017,Kaduna,Kubau,3.39,248,175
2017,Kaduna,Kudan,1.36,710,126
2017,Kaduna,Lere,7.68,810,108
2017,Kaduna,Markafi,1.09,459,181
2017,Kaduna,Sabon-Gari,6.04,194,78
2017,Kaduna,Sanga,2.21,373,117
2017,Kaduna,Soba,8.46,447,165
2017,Kaduna,Zango-Kataf,2.24,500,107
2017,Kaduna,Zaria,6.48,786,71
2017,Kano,Ajingi,8.81,547,111
2017,Kano,Albasu,6.69,195,145
2017,Kano,Bagwai,8.24,436,111
2017,Kano,Bebeji,7.56,734,107
2017,Kano,Bichi,6.4,763,57
2017,Kano,Bunkure,8.35,585,146
2017,Kano,Dala,9.28,320,66
2017,Kano,Dambatta,2.31,755,91
2017,Kano,Dawakin Kudu,9.66,507,184
2017,Kano,Dawakin Tofa,3.41,304,67
2017,Kano,Doguwa,7.11,268,170
2017,Kano,Fagge,7.11,330,170
2017,Kano,Gabasawa,8.43,769,83
2017,Kano,Garko,6.09,722,191
2017,Kano,Garum Mallam,7.62,459,128
2017,Kano,Gaya,3.87,777,145
2017,Kano,Gezawa,7.92,443,191
2017,Kano,Gwale,5.62,169,125
2017,Kano,Gwarzo,7.73,290,81
2017,Kano,Kabo,5.16,989,95
2017,Kano,Kano Municipal,6.72,363,111
2017,Kano,Karaye,6.38,520,86
2017,Kano,Kibiya,3.93,580,57
2017,Kano,Kiru,4.57,632,144
2017,Kano,Kumbotso,1.75,982,126
2017,Kano,Kunchi,9.99,961,77
2017,Kano,Kura,9.7,103,179
2017,Kano,Madobi,1.25,865,161
2017,Kano,Makoda,3.91,471,184
2017,Kano,Minjibir,3.71,447,184
2017,Kano,Nasarawa,4.45,857,83
2017,Kano,Rano,9.57,724,143
2017,Kano,Rimin Gado,6.4,428,69
2017,Kano,Rogo,7.51,717,118
2017,Kano,Shanono,3.26,394,132
2017,Kano,Sumaila,3.01,230,190
2017,Kano,Takai,6.3,110,197
2017,Kano,Tarauni,7.85,471,59
2017,Kano,Tofa,1.73,406,115
2017,Kano,Tsanyawa,9.49,728,166
2017,Kano,Tudun Wada,4.99,910,91
2017,Kano,Ungogo,3,695,188
2017,Kano,Warawa,6.18,978,70
2017,Kano,Wudil,7.11,819,199
2017,Katsina,Bakori,4.38,592,188
2017,Katsina,Batagarawa,9.67,522,95
2017,Katsina,Batsari,8.78,546,125
2017,Katsina,Baure,4,912,170
2017,Katsina,Bindawa,3.57,349,183
2017,Katsina,Charanchi,8.49,682,82
2017,Katsina,Dan Musa,4.39,462,141
2017,Katsina,Dandume,3.23,883,98
2017,Katsina,Danja,4.68,192,115
2017,Katsina,Daura,3.14,802,86
2017,Katsina,Dutsi,7.85,750,183
2017,Katsina,Dutsin-Ma,6.85,336,95
2017,Katsina,Faskari,4.28,448,75
2017,Katsina,Funtua,2.87,534,58
2017,Katsina,Ingawa,6.75,447,195
2017,Katsina,Jibia,7.95,117,168
2017,Katsina,Kafur,4.33,443,82
2017,Katsina,Kaita,5.63,597,71
2017,Katsina,Kankara,9.93,476,50
2017,Katsina,Kankia,8.94,869,184
2017,Katsina,Katsina,7.49,509,93
2017,Katsina,Kurfi,8.41,258,142
2017,Katsina,Kusada,9.94,650,198
2017,Katsina,Mai'adua,4.71,674,51
2017,Katsina,Malumfashi,8.27,613,81
2017,Katsina,Mani,6.22,401,73
2017,Katsina,Mashi,7.93,768,73
2017,Katsina,Matazu,1.89,974,51
2017,Katsina,Musawa,5.62,717,171
2017,Katsina,Rimi,8.39,297,99
2017,Katsina,Sabuwa,1.45,628,89
2017,Katsina,Safana,6.82,557,163
2017,Katsina,Sandamu,2.57,879,131
2017,Katsina,Zango,5.6,761,188
2017,Kebbi,Aleiro,7.39,354,181
2017,Kebbi,Arewa-Dandi,2.41,865,101
2017,Kebbi,Argungu,3.98,924,122
2017,Kebbi,Augie,6.87,268,193
2017,Kebbi,Bagudo,2.28,207,120
2017,Kebbi,Birnin Kebbi,3.34,627,119
2017,Kebbi,Bunza,1.35,852,124
2017,Kebbi,Dandi,2.73,483,67
2017,Kebbi,Fakai,1.73,433,57
2017,Kebbi,Gwandu,3.64,773,106
2017,Kebbi,Jega,3.81,229,69
2017,Kebbi,Kalgo,4.4,929,177
2017,Kebbi,Koko/Besse,7.36,839,90
2017,Kebbi,Maiyama,7.74,180,184
2017,Kebbi,Ngaski,8.81,242,64
2017,Kebbi,Sakaba,3.66,906,164
2017,Kebbi,Shanga,7.91,131,59
2017,Kebbi,Suru,2.7,847,196
2017,Kebbi,Wasagu/Danko,4.74,867,200
2017,Kebbi,Yauri,3.53,458,199
2017,Kebbi,Zuru,3.87,131,60
2017,Kogi,Adavi,6.3,996,110
2017,Kogi,Ajaokuta,1.61,660,51
2017,Kogi,Ankpa,2.85,179,78
2017,Kogi,Bassa,8.43,605,92
2017,Kogi,Dekina,3.68,901,179
2017,Kogi,Ibaji,9.55,369,77
2017,Kogi,Idah,4.47,128,192
2017,Kogi,Igalamela-Odolu,6.08,989,61
2017,Kogi,Ijumu,2.44,927,126
2017,Kogi,Kabba/Bunu,1.97,863,121
2017,Kogi,Kogi,3.71,254,147
2017,Kogi,Lokoja,1.12,916,50
2017,Kogi,Mopa-Muro,8.03,650,72
2017,Kogi,Ofu,6.4,208,143
2017,Kogi,Ogori/Magongo,8.68,193,77
2017,Kogi,Okehi,7.12,282,166
2017,Kogi,Okene,4.8,333,54
2017,Kogi,Olamabolo,8.05,128,145
2017,Kogi,Omala,2.98,526,182
2017,Kogi,Yagba East,4.13,202,184
2017,Kogi,Yagba West,3.65,640,187
2017,Kwara,Asa,3.88,186,80
2017,Kwara,Baruten,8.13,279,91
2017,Kwara,Edu,7.22,864,196
2017,Kwara,Ekiti,1.36,837,129
2017,Kwara,Ifelodun,4.13,862,162
2017,Kwara,Ilorin East,5.84,431,97
2017,Kwara,Ilorin South,5.83,693,64
2017,Kwara,Ilorin West,2.98,415,106
2017,Kwara,Irepodun,6.85,635,69
2017,Kwara,Isin,7.68,173,198
2017,Kwara,Kaiama,2,870,58
2017,Kwara,Moro,6.03,263,66
2017,Kwara,Offa,5.99,341,171
2017,Kwara,Oke-Ero,8.57,960,66
2017,Kwara,Oyun,6.33,415,54
2017,Kwara,Pategi,8.83,991,124
2017,Lagos,Agege,6.08,753,72
2017,Lagos,Ajeromi-Ifelodun,4.53,934,111
2017,Lagos,Alimosho,3.92,168,58
2017,Lagos,Amuwo-Odofin,5.27,143,77
2017,Lagos,Apapa,4.45,952,56
2017,Lagos,Badagry,9.83,989,50
2017,Lagos,Epe,5.75,815,157
2017,Lagos,Eti-Osa,1.8,873,145
2017,Lagos,Ibeju/Lekki,3.87,948,148
2017,Lagos,Ifako-Ijaye,4.8,181,119
2017,Lagos,Ikeja,3.01,789,81
2017,Lagos,Ikorodu,8.17,740,66
2017,Lagos,Kosofe,2.31,392,54
2017,Lagos,Lagos Island,5.94,813,106
2017,Lagos,Lagos Mainland,1.44,382,108
2017,Lagos,Mushin,2.04,645,94
2017,Lagos,Ojo,9.71,432,88
2017,Lagos,Oshodi-Isolo,2.43,125,53
2017,Lagos,Shomolu,9.97,635,113
2017,Lagos,Surulere,4.19,268,188
2017,Nasarawa,Akwanga,2.79,804,68
2017,Nasarawa,Awe,6.99,503,162
2017,Nasarawa,Doma,9.56,950,112
2017,Nasarawa,Karu,9.09,366,105
2017,Nasarawa,Keana,4.37,197,170
2017,Nasarawa,Keffi,3.18,226,180
2017,Nasarawa,Kokona,2.78,423,115
2017,Nasarawa,Lafia,8.41,182,105
2017,Nasarawa,Nasarawa,6.79,700,100
2017,Nasarawa,Nasarawa-Eggon,3.51,261,143
2017,Nasarawa,Obi,6.22,708,117
2017,Nasarawa,Toto,6.63,147,146
2017,Nasarawa,Wamba,4.32,794,150
2017,Niger,Agaie,1.66,301,73
2017,Niger,Agwara,5.85,518,161
2017,Niger,Bida,4.19,743,54
2017,Niger,Borgu,1.78,478,185
2017,Niger,Bosso,3.9,283,65
2017,Niger,Chanchaga,7.61,677,126
2017,Niger,Edati,8.21,759,175
2017,Niger,Gbako,9.83,690,91
2017,Niger,Gurara,7.87,216,82
2017,Niger,Katcha,6.24,597,183
2017,Niger,Kontagora,6.42,157,135
2017,Niger,Lapai,4.8,505,151
2017,Niger,Lavun,1.47,898,107
2017,Niger,Magama,1.26,169,180
2017,Niger,Mariga,6.17,183,73
2017,Niger,Mashegu,8.82,442,150
2017,Niger,Mokwa,2.95,724,178
2017,Niger,Muya,8.14,787,176
2017,Niger,Paikoro,4.66,989,197
2017,Niger,Rafi,9.39,715,71
2017,Niger,Rijau,6.22,206,57
2017,Niger,Shiroro,2.37,410,132
2017,Niger,Suleja,9.58,765,175
2017,Niger,Tafa,8.53,314,134
2017,Niger,Wushishi,9.78,103,89
2017,Ogun,Abeokuta North,6.37,661,105
2017,Ogun,Abeokuta South,6.61,219,110
2017,Ogun,Ado-Odo/Ota,2.7,338,58
2017,Ogun,Egbado North,2.87,578,76
2017,Ogun,Egbado South,2.72,408,135
2017,Ogun,Ewekoro,9.29,665,53
2017,Ogun,Ifo,2.89,654,58
2017,Ogun,Ijebu East,9.63,295,186
2017,Ogun,Ijebu North,9.9,407,155
2017,Ogun,Ijebu North East,8.12,981,178
2017,Ogun,Ijebu Ode,8.15,938,143
2017,Ogun,Ikenne,6.21,257,186
2017,Ogun,Imeko-Afon,8.21,940,123
2017,Ogun,Ipokia,8.02,941,167
2017,Ogun,Obafemi-Owode,8.67,506,78
2017,Ogun,Odeda,2.47,849,173
2017,Ogun,Odogbolu,8.76,395,192
2017,Ogun,Ogun waterside,2.54,833,112
2017,Ogun,Remo North,8.54,276,67
2017,Ogun,Shagamu,7.27,227,95
2017,Ondo,Akoko North East,1.93,569,60
2017,Ondo,Akoko North West,4.71,953,123
2017,Ondo,Akoko South East,9.36,799,84
2017,Ondo,Akoko South West,2.49,770,185
2017,Ondo,Akure North,3.82,924,175
2017,Ondo,Akure South,6.53,975,131
2017,Ondo,Ese-Odo,9.51,330,115
2017,Ondo,Idanre,2.07,289,127
2017,Ondo,Ifedore,5.8,203,180
2017,Ondo,Ilaje,8.57,271,191
2017,Ondo,Ile-Oluji-Okeigbo,5,970,130
2017,Ondo,Irele,3.53,827,149
2017,Ondo,Odigbo,2.85,612,123
2017,Ondo,Okitipupa,3.68,889,109
2017,Ondo,Ondo East,6.47,855,157
2017,Ondo,Ondo West,6.97,321,109
2017,Ondo,Ose,1.67,480,181
2017,Ondo,Owo,1.07,191,97
2017,Osun,Aiyedade,8.18,947,113
2017,Osun,Aiyedire,8.88,510,132
2017,Osun,Atakumosa East,2.74,691,70
2017,Osun,Atakumosa West,2.95,992,93
2017,Osun,Boluwaduro,6.84,622,76
2017,Osun,Boripe,4.14,292,200
2017,Osun,Ede North,2.57,976,100
2017,Osun,Ede South,8.27,713,190
2017,Osun,Egbedore,8.68,705,116
2017,Osun,Ejigbo,3.91,220,100
2017,Osun,Ife Central,7.81,589,179
2017,Osun,Ife East,4.21,981,82
2017,Osun,Ife North,1.03,147,173
2017,Osun,Ife South,7.61,613,146
2017,Osun,Ifedayo,4.72,606,188
2017,Osun,Ifelodun,7.61,908,117
2017,Osun,Ila,4.83,644,187
2017,Osun,Ilesha East,8.47,345,108
2017,Osun,Ilesha West,2.27,435,164
2017,Osun,Irepodun,6.95,824,104
2017,Osun,Irewole,9.69,883,199
2017,Osun,Isokan,8.65,508,73
