state,lga,year,fvi_score,fvi_category,exposure_index,sensitivity_index,adaptive_capacity_index,annual_rainfall_mm,population_exposed_thousands,area_flooded_km2,economic_loss_million_ngn,flood_events
Abia,Isiala Ngwa North,2020,5.55,Medium,6.08,5.13,4.65,2105,39,14,180.3,1
Abia,Isiala Ngwa North,2021,6.01,Medium,7.01,5.1,4.17,2149,14,20,255.7,1
Abia,Isiala Ngwa North,2022,6.3,Medium,6.31,6.73,4.59,2355,16,27,352.8,1
Abia,Isiala Ngwa North,2023,6.32,Medium,6.61,7.02,5.68,2337,20,31,406.1,2
Abia,Isiala Ngwa North,2024,5.93,Medium,5.91,7.0,6.15,2090,32,14,178.2,2
Abia,Isiala Ngwa South,2018,6.26,Medium,6.31,6.53,4.37,1727,24,24,306.5,3
Abia,Isiala Ngwa South,2019,5.56,Medium,5.1,6.55,5.48,1873,14,27,332.6,3
Abia,Isiala Ngwa South,2020,5.76,Medium,5.94,5.87,4.8,2154,22,15,183.6,3
Abia,Isiala Ngwa South,2021,6.26,Medium,7.23,6.18,5.53,1965,26,12,146.8,3
Abia,Isiala Ngwa South,2022,6.07,Medium,6.18,6.78,5.56,2040,34,33,421.9,3
Abia,Isiala Ngwa South,2023,6.09,Medium,6.9,5.7,4.73,2213,24,16,195.6,2
Abia,Isiala Ngwa South,2024,5.68,Medium,7.17,5.07,6.1,2488,32,33,427.2,3
Abia,Isuikwuato,2018,6.08,Medium,6.56,6.36,5.42,1900,14,17,210.7,1
Abia,Isuikwuato,2019,6.02,Medium,7.31,5.22,4.94,2109,31,19,234.8,1
Abia,Isuikwuato,2020,6.03,Medium,6.75,6.35,6.05,2190,24,21,271.0,2
Abia,Isuikwuato,2021,6.29,Medium,7.27,6.42,5.91,2349,26,13,163.8,2
Abia,Isuikwuato,2022,6.48,Medium,7.05,7.21,6.12,1801,30,21,267.9,3
Abia,Isuikwuato,2023,6.64,Medium,7.08,6.86,4.7,2210,22,26,344.0,2
Abia,Isuikwuato,2024,6.29,Medium,6.46,6.74,4.93,2464,23,27,331.2,2
Abia,Obi Ngwa,2018,6.58,Medium,6.79,6.72,4.12,2042,31,11,144.9,3
Abia,Obi Ngwa,2019,5.65,Medium,6.69,4.95,5.05,2277,22,15,200.0,3
Abia,Obi Ngwa,2020,5.6,Medium,7.22,4.72,5.85,2211,21,19,246.0,1
Abia,Obi Ngwa,2021,5.73,Medium,5.82,6.36,5.73,1849,40,16,194.2,2
Abia,Obi Ngwa,2022,5.56,Medium,5.56,6.08,5.46,1799,15,25,306.4,2
Abia,Obi Ngwa,2023,6.72,High,7.53,7.01,5.5,1932,27,13,162.9,1
Abia,Obi Ngwa,2024,6.73,High,7.68,6.32,4.32,2215,36,23,307.1,2
Abia,Ohafia,2018,5.68,Medium,7.12,5.08,5.99,2139,28,17,227.0,3
Abia,Ohafia,2019,5.49,Medium,6.25,4.63,4.33,2223,31,11,146.4,1
Abia,Ohafia,2020,5.7,Medium,6.81,4.91,4.96,2259,25,12,147.9,3
Abia,Ohafia,2021,6.07,Medium,6.28,6.88,5.95,2074,23,30,396.9,2
Abia,Ohafia,2022,5.52,Medium,5.91,5.92,6.08,2345,24,26,319.9,1
Abia,Ohafia,2023,6.1,Medium,6.2,6.5,4.88,2421,21,21,269.9,3
Abia,Ohafia,2024,6.01,Medium,5.67,6.59,4.49,2502,17,24,313.3,1
Abia,Osisioma,2018,5.21,Medium,5.64,5.08,5.38,1786,33,18,219.7,2
Abia,Osisioma,2019,5.32,Medium,5.87,4.72,4.56,2034,35,18,238.5,2
Abia,Osisioma,2020,5.55,Medium,5.35,6.51,5.96,1801,29,28,363.5,2
Abia,Osisioma,2021,6.1,Medium,5.91,6.6,4.52,1829,29,12,152.8,2
Abia,Osisioma,2022,5.49,Medium,5.36,6.4,6.09,2181,23,18,237.8,2
Abia,Osisioma,2023,6.88,High,7.69,7.14,5.27,2322,19,12,155.8,2
Abia,Osisioma,2024,6.29,Medium,7.36,6.22,5.73,1890,26,21,254.8,3
Abia,Ugwunagbo,2018,5.49,Medium,6.06,4.98,4.64,1909,19,20,248.0,3
Abia,Ugwunagbo,2019,5.69,Medium,7.02,4.62,4.81,1811,24,27,339.2,1
Abia,Ugwunagbo,2020,5.59,Medium,5.18,5.96,4.34,2149,26,16,198.7,1
Abia,Ugwunagbo,2021,6.78,High,7.4,6.63,4.14,2139,31,21,272.8,2
Abia,Ugwunagbo,2022,6.27,Medium,7.46,6.13,5.84,2139,18,30,395.9,3
Abia,Ugwunagbo,2023,6.01,Medium,7.18,5.78,5.86,2423,23,12,151.1,1
Abia,Ugwunagbo,2024,6.1,Medium,6.93,6.26,5.87,2084,25,20,266.9,2
Abia,Ukwa East,2018,5.79,Medium,5.91,6.46,5.8,2234,32,13,173.5,3
Abia,Ukwa East,2019,5.86,Medium,7.35,4.92,5.24,2103,23,11,142.6,2
Abia,Ukwa East,2020,6.15,Medium,6.61,6.49,5.49,2026,39,12,155.0,3
Abia,Ukwa East,2021,6.26,Medium,6.4,6.87,5.24,2092,15,25,319.6,1
Abia,Ukwa East,2022,6.05,Medium,6.38,6.81,6.12,1949,37,24,294.0,1
Abia,Ukwa East,2023,5.34,Medium,5.56,5.43,5.27,1850,34,13,157.6,1
Abia,Ukwa East,2024,6.27,Medium,6.71,6.55,5.18,2266,33,26,334.4,3
Abia,Ukwa West,2018,5.9,Medium,6.81,5.93,5.99,2078,21,11,134.4,3
Abia,Ukwa West,2019,6.13,Medium,6.27,7.06,6.02,1861,35,18,224.0,1
Abia,Ukwa West,2020,6.07,Medium,5.93,6.65,4.82,2170,39,25,307.4,3
Abia,Ukwa West,2021,5.93,Medium,7.38,4.73,4.6,1842,35,25,325.7,2
Abia,Ukwa West,2022,5.78,Medium,6.34,5.65,5.05,2148,27,19,243.8,2
Abia,Ukwa West,2023,6.42,Medium,7.81,5.36,4.23,2412,18,21,279.3,1
Abia,Ukwa West,2024,5.71,Medium,5.51,6.85,6.18,1905,33,18,229.2,1
Abia,Umuahia North,2018,5.92,Medium,6.88,5.04,4.25,1931,29,17,222.7,1
Abia,Umuahia North,2019,5.57,Medium,5.36,6.32,5.51,2168,34,18,219.7,2
Abia,Umuahia North,2020,5.62,Medium,6.11,5.13,4.4,2006,29,13,163.2,2
Abia,Umuahia North,2021,5.97,Medium,6.35,5.88,4.61,2218,15,11,133.8,2
Abia,Umuahia North,2022,6.17,Medium,7.6,5.51,5.38,2057,17,11,142.2,2
Abia,Umuahia North,2023,5.96,Medium,5.53,6.79,4.82,2122,20,19,231.8,3
Abia,Umuahia North,2024,5.9,Medium,6.5,6.24,5.96,2070,40,19,251.5,3
Abia,Umuahia South,2018,5.36,Medium,5.55,4.91,4.12,2020,37,19,233.8,2
Abia,Umuahia South,2019,6.53,Medium,6.59,6.76,4.05,2269,17,24,305.5,2
Abia,Umuahia South,2020,5.31,Medium,6.55,4.75,6.03,1945,16,18,238.5,2
Abia,Umuahia South,2021,6.34,Medium,7.35,5.57,4.14,2265,25,30,375.0,3
Abia,Umuahia South,2022,5.53,Medium,5.51,5.77,4.91,2047,36,14,182.6,1
Abia,Umuahia South,2023,6.25,Medium,7.21,6.46,6.09,2064,28,15,198.0,3
Abia,Umuahia South,2024,6.1,Medium,5.86,7.08,5.37,2474,19,22,275.0,3
Abia,Umu Nneochi,2018,6.26,Medium,6.87,6.38,5.23,2087,23,14,180.8,1
Abia,Umu Nneochi,2019,6.21,Medium,6.52,6.45,4.87,1711,15,29,358.3,3
Abia,Umu Nneochi,2020,6.11,Medium,5.78,6.8,4.6,1920,27,28,351.8,3
Abia,Umu Nneochi,2021,6.07,Medium,6.78,5.67,4.57,2333,17,28,365.0,2
Abia,Umu Nneochi,2022,6.53,Medium,6.78,7.06,5.02,1978,17,19,241.5,1
Abia,Umu Nneochi,2023,5.86,Medium,6.85,5.25,4.91,2294,37,30,387.2,1
Abia,Umu Nneochi,2024,6.0,Medium,6.34,6.08,4.83,2058,34,13,166.1,2
Adamawa,Demsa,2018,5.3,Medium,5.15,4.58,2.95,890,17,40,525.3,2
Adamawa,Demsa,2019,6.16,Medium,5.92,5.97,2.99,841,14,36,454.6,3
Adamawa,Demsa,2020,5.79,Medium,4.91,6.21,3.29,820,14,36,442.2,3
Adamawa,Demsa,2021,6.18,Medium,6.19,6.67,4.82,1020,18,26,320.5,2
Adamawa,Demsa,2022,6.34,Medium,5.15,7.27,3.13,862,27,34,421.4,3
Adamawa,Demsa,2023,5.97,Medium,4.7,7.18,3.9,936,11,21,265.9,1
Adamawa,Demsa,2024,6.37,Medium,6.4,6.85,4.66,1056,17,48,585.3,1
Adamawa,Fufure,2018,6.16,Medium,5.22,6.6,2.84,963,24,26,344.1,3
Adamawa,Fufure,2019,6.32,Medium,5.49,6.86,3.07,912,23,16,204.7,3
Adamawa,Fufure,2020,5.6,Medium,5.41,5.39,3.62,778,12,44,546.4,2
Adamawa,Fufure,2021,6.06,Medium,5.16,6.94,3.92,936,29,36,464.0,3
Adamawa,Fufure,2022,6.65,Medium,6.97,6.3,3.27,812,11,28,347.0,1
Adamawa,Fufure,2023,5.74,Medium,5.99,5.61,4.52,1026,28,31,401.8,2
Adamawa,Fufure,2024,6.95,High,6.86,7.3,3.57,1112,30,18,240.6,1
Adamawa,Ganye,2018,5.57,Medium,5.17,5.93,4.37,843,20,40,527.6,3
Adamawa,Ganye,2019,5.69,Medium,5.9,5.4,4.14,866,14,23,305.9,3
Adamawa,Ganye,2020,6.69,Medium,6.73,6.77,3.54,919,19,33,425.8,3
Adamawa,Ganye,2021,5.8,Medium,5.43,6.16,4.16,990,12,37,465.0,1
Adamawa,Ganye,2022,6.45,Medium,6.54,6.47,3.76,1041,22,39,511.3,3
Adamawa,Ganye,2023,5.99,Medium,5.73,6.63,4.76,898,25,48,608.4,3
Adamawa,Ganye,2024,6.38,Medium,6.06,6.66,3.56,933,25,42,526.8,2
Adamawa,Gombi,2018,6.14,Medium,5.99,6.27,3.83,836,25,41,504.0,2
Adamawa,Gombi,2019,6.35,Medium,6.27,6.29,3.38,828,25,37,466.4,2
Adamawa,Gombi,2020,6.6,Medium,6.65,6.68,3.66,957,24,41,510.9,3
Adamawa,Gombi,2021,5.99,Medium,6.45,5.39,3.73,926,22,20,260.5,3
Adamawa,Gombi,2022,5.75,Medium,4.57,6.94,4.28,977,29,24,301.7,3
Adamawa,Gombi,2023,5.43,Medium,5.41,5.23,4.13,1069,27,43,545.9,2
Adamawa,Gombi,2024,5.58,Medium,5.28,5.93,4.54,977,20,23,298.5,2
Adamawa,Guyuk,2018,5.94,Medium,4.82,6.51,2.92,959,23,27,327.6,2
Adamawa,Guyuk,2019,6.05,Medium,5.19,6.77,3.67,785,27,25,317.2,1
Adamawa,Guyuk,2020,5.53,Medium,4.86,6.02,4.13,981,18,27,357.1,3
Adamawa,Guyuk,2021,5.18,Medium,4.59,4.86,3.02,942,14,21,260.2,2
Adamawa,Guyuk,2022,6.07,Medium,5.77,6.61,4.42,802,29,25,309.2,2
Adamawa,Guyuk,2023,6.36,Medium,6.35,7.01,4.92,843,12,49,629.2,1
Adamawa,Guyuk,2024,5.8,Medium,5.56,5.98,4.07,1022,13,22,267.7,2
Adamawa,Hong,2018,5.11,Medium,5.2,4.95,4.76,985,16,30,393.9,2
Adamawa,Hong,2019,6.11,Medium,5.14,6.77,3.27,970,10,15,198.2,1
Adamawa,Hong,2020,5.79,Medium,6.24,5.29,4.12,787,18,18,228.5,1
Adamawa,Hong,2021,5.89,Medium,6.86,5.06,4.41,939,20,34,430.5,2
Adamawa,Hong,2022,5.53,Medium,6.05,5.17,4.77,867,26,17,217.2,1
Adamawa,Hong,2023,6.12,Medium,5.43,7.15,4.57,984,11,50,664.2,1
Adamawa,Hong,2024,5.68,Medium,6.46,5.19,4.91,996,14,52,679.3,2
Adamawa,Jada,2018,5.51,Medium,5.36,5.41,4.0,902,23,41,545.0,1
Adamawa,Jada,2019,5.44,Medium,5.8,5.21,4.83,873,27,35,462.3,3
Adamawa,Jada,2020,6.61,Medium,6.85,7.06,4.77,828,26,35,430.5,1
Adamawa,Jada,2021,5.95,Medium,6.8,5.47,4.8,997,18,26,341.5,1
Adamawa,Jada,2022,5.63,Medium,5.39,5.85,4.31,1062,30,21,266.4,3
Adamawa,Jada,2023,5.03,Medium,4.7,5.25,4.73,816,16,17,225.5,3
Adamawa,Jada,2024,5.43,Medium,6.0,4.95,4.74,1037,14,50,659.1,1
Adamawa,Lamurde,2018,5.7,Medium,4.53,6.96,4.46,812,9,29,376.6,2
Adamawa,Lamurde,2019,5.92,Medium,5.08,6.71,4.02,1020,19,27,340.1,2
Adamawa,Lamurde,2020,6.06,Medium,6.04,5.7,3.21,882,27,31,392.9,1
Adamawa,Lamurde,2021,5.86,Medium,5.31,6.12,3.53,936,24,32,405.0,1
Adamawa,Lamurde,2022,5.73,Medium,4.98,6.07,3.45,1000,16,34,412.6,1
Adamawa,Lamurde,2023,6.14,Medium,6.42,5.85,3.84,852,17,42,560.3,2
Adamawa,Lamurde,2024,5.69,Medium,5.32,5.69,3.55,830,12,46,591.7,1
Adamawa,Madagali,2018,6.36,Medium,6.57,5.88,3.11,855,23,16,203.6,3
Adamawa,Madagali,2019,5.92,Medium,6.34,5.41,3.89,785,12,43,529.1,2
Adamawa,Madagali,2020,6.21,Medium,5.58,7.14,4.42,878,26,17,218.1,2
Adamawa,Madagali,2021,6.09,Medium,5.37,6.93,4.15,921,25,23,299.0,3
Adamawa,Madagali,2022,6.57,Medium,6.73,6.95,4.52,827,18,18,234.4,2
Adamawa,Madagali,2023,6.03,Medium,6.59,5.43,3.88,953,24,26,319.8,3
Adamawa,Madagali,2024,5.62,Medium,4.77,5.83,3.09,913,20,44,582.0,2
Adamawa,Maiha,2018,5.75,Medium,5.55,5.87,4.09,825,24,36,436.9,1
Adamawa,Maiha,2019,6.24,Medium,6.42,5.87,3.36,907,23,35,437.1,3
Adamawa,Maiha,2020,5.16,Medium,4.73,5.42,4.5,958,15,16,213.7,2
Adamawa,Maiha,2021,5.41,Medium,4.92,5.48,3.74,969,23,17,208.1,3
Adamawa,Maiha,2022,6.68,Medium,6.63,7.04,3.95,920,11,23,304.7,1
Adamawa,Maiha,2023,6.66,Medium,6.9,6.62,3.75,849,16,32,402.2,1
Adamawa,Maiha,2024,6.51,Medium,6.19,7.18,4.19,955,31,23,306.7,3
Adamawa,Mayo Belwa,2018,6.14,Medium,6.2,5.93,3.55,849,14,16,198.2,2
Adamawa,Mayo Belwa,2019,6.09,Medium,6.71,5.42,3.79,799,26,17,213.2,1
Adamawa,Mayo Belwa,2020,5.85,Medium,5.28,6.25,3.8,821,18,22,289.1,2
Adamawa,Mayo Belwa,2021,5.53,Medium,4.86,5.65,3.37,920,14,16,204.8,1
Adamawa,Mayo Belwa,2022,5.57,Medium,5.45,4.95,2.98,1003,17,39,507.0,1
Adamawa,Mayo Belwa,2023,6.37,Medium,6.99,6.27,4.66,987,12,37,493.3,2
Adamawa,Mayo Belwa,2024,6.55,Medium,6.92,6.63,4.34,942,31,48,584.5,2
Adamawa,Michika,2018,5.99,Medium,5.89,5.87,3.56,891,11,33,406.3,2
Adamawa,Michika,2019,5.84,Medium,4.84,6.45,3.4,770,12,33,410.5,1
Adamawa,Michika,2020,6.44,Medium,6.3,7.03,4.45,942,12,27,356.3,3
Adamawa,Michika,2021,5.5,Medium,5.06,5.67,3.95,807,16,48,605.6,1
Adamawa,Michika,2022,5.65,Medium,6.08,5.46,4.81,974,19,22,269.1,2
Adamawa,Michika,2023,6.6,Medium,6.82,6.19,3.04,1038,31,30,384.0,1
Adamawa,Michika,2024,6.0,Medium,5.39,7.1,4.96,1014,12,24,302.5,1
Adamawa,Mubi North,2018,5.81,Medium,5.95,5.57,3.99,827,15,15,200.5,2
Adamawa,Mubi North,2019,5.62,Medium,6.31,4.79,4.11,920,24,19,230.9,1
Adamawa,Mubi North,2020,5.27,Medium,5.35,4.77,3.9,1022,19,36,480.9,1
Adamawa,Mubi North,2021,6.96,High,6.76,7.14,3.0,999,24,28,368.6,1
Adamawa,Mubi North,2022,5.51,Medium,5.32,5.03,3.11,843,19,48,587.9,1
Adamawa,Mubi North,2023,5.71,Medium,6.08,5.18,3.98,902,31,47,601.8,3
Adamawa,Mubi North,2024,5.99,Medium,6.88,4.98,3.77,1055,18,26,340.9,3
Adamawa,Mubi South,2018,5.99,Medium,5.45,6.3,3.54,778,16,17,210.6,2
Adamawa,Mubi South,2019,6.31,Medium,5.43,6.78,2.87,802,14,24,315.8,1
Adamawa,Mubi South,2020,5.89,Medium,5.1,6.88,4.54,976,23,28,349.5,3
Adamawa,Mubi South,2021,5.72,Medium,4.5,6.38,3.13,970,20,38,505.4,2
Adamawa,Mubi South,2022,6.31,Medium,6.41,6.43,4.13,898,17,33,411.7,3
Adamawa,Mubi South,2023,5.99,Medium,6.46,5.08,3.11,1008,26,44,579.7,3
Adamawa,Mubi South,2024,6.57,Medium,6.9,6.18,3.31,929,19,42,552.2,3
Adamawa,Numan,2018,6.77,High,6.66,6.95,3.38,940,26,27,346.4,3
Adamawa,Numan,2019,6.27,Medium,6.1,6.82,4.48,859,20,29,352.1,1
Adamawa,Numan,2020,6.6,Medium,6.36,6.94,3.62,951,24,33,413.6,3
Adamawa,Numan,2021,6.37,Medium,6.45,6.47,3.96,999,23,26,336.7,2
Adamawa,Numan,2022,6.1,Medium,5.37,7.01,4.29,827,18,42,539.3,2
Adamawa,Numan,2023,6.87,High,6.63,7.29,3.47,928,26,28,361.1,2
Adamawa,Numan,2024,5.91,Medium,6.07,5.33,3.22,1003,12,38,497.7,1
Adamawa,Shelleng,2018,6.19,Medium,6.74,5.69,3.89,983,17,15,196.7,3
Adamawa,Shelleng,2019,6.04,Medium,4.76,7.02,3.35,974,13,43,572.8,2
Adamawa,Shelleng,2020,6.32,Medium,5.56,7.06,3.64,855,14,38,476.5,3
Adamawa,Shelleng,2021,5.44,Medium,5.28,4.94,3.25,792,27,46,604.5,1
Adamawa,Shelleng,2022,6.47,Medium,5.98,6.7,3.03,913,26,27,351.8,1
Adamawa,Shelleng,2023,5.33,Medium,5.26,5.3,4.48,835,29,42,556.5,1
Adamawa,Shelleng,2024,5.94,Medium,6.86,4.97,3.97,841,28,44,548.2,2
Adamawa,Song,2018,6.63,Medium,6.63,7.0,4.14,861,14,41,528.5,3
Adamawa,Song,2019,5.83,Medium,6.16,5.74,4.65,848,15,24,301.6,1
Adamawa,Song,2020,6.04,Medium,5.64,6.14,3.38,1019,19,24,299.0,2
Adamawa,Song,2021,5.79,Medium,5.31,5.99,3.64,823,25,46,611.5,1
Adamawa,Song,2022,5.47,Medium,5.93,5.01,4.53,806,21,48,608.3,3
Adamawa,Song,2023,5.88,Medium,4.83,7.25,4.74,1059,30,35,435.1,1
Adamawa,Song,2024,5.48,Medium,4.98,6.16,4.9,1043,30,42,556.9,2
Adamawa,Toungo,2018,6.37,Medium,5.98,6.67,3.47,804,26,34,448.5,3
Adamawa,Toungo,2019,5.76,Medium,5.06,6.61,4.53,841,25,34,429.3,3
Adamawa,Toungo,2020,5.01,Medium,4.67,4.73,3.73,804,19,27,353.0,3
Adamawa,Toungo,2021,5.88,Medium,6.7,4.81,3.63,1017,28,34,420.1,1
Adamawa,Toungo,2022,6.56,Medium,6.01,7.03,3.28,867,27,35,446.6,3
Adamawa,Toungo,2023,5.49,Medium,5.77,5.22,4.53,1024,23,18,219.9,3
Adamawa,Toungo,2024,6.05,Medium,5.21,6.78,3.73,1047,32,36,452.3,2
Adamawa,Yola North,2018,5.35,Medium,5.05,5.27,3.86,976,15,33,404.2,2
Adamawa,Yola North,2019,5.72,Medium,4.35,7.03,4.14,882,20,38,465.4,2
Adamawa,Yola North,2020,5.82,Medium,6.22,5.14,3.6,864,17,45,588.7,1
Adamawa,Yola North,2021,5.51,Medium,4.62,5.92,3.53,885,21,19,249.2,2
Adamawa,Yola North,2022,6.64,Medium,6.88,6.62,3.81,928,12,21,257.0,2
Adamawa,Yola North,2023,6.38,Medium,5.45,7.0,3.01,1095,26,47,610.8,3
Adamawa,Yola North,2024,6.7,High,7.08,6.62,3.92,856,14,51,669.0,3
Adamawa,Yola South,2018,5.61,Medium,5.7,5.28,3.92,912,12,37,478.4,1
Adamawa,Yola South,2019,6.08,Medium,6.21,5.72,3.45,927,18,16,211.7,2
Adamawa,Yola South,2020,6.64,Medium,6.9,6.78,4.19,815,26,45,598.6,2
Adamawa,Yola South,2021,6.01,Medium,4.81,6.99,3.52,1052,23,22,283.1,3
Adamawa,Yola South,2022,5.9,Medium,6.31,5.9,4.93,800,22,22,278.4,2
Adamawa,Yola South,2023,6.47,Medium,6.96,6.1,3.77,1063,17,46,593.1,3
Adamawa,Yola South,2024,6.39,Medium,6.74,6.02,3.58,976,30,34,433.7,1
Adamawa,Gayuk,2018,6.03,Medium,5.42,6.43,3.57,862,24,34,427.3,3
Adamawa,Gayuk,2019,5.88,Medium,5.91,5.89,4.2,969,20,26,325.9,1
Adamawa,Gayuk,2020,5.13,Medium,5.02,4.91,4.2,794,25,18,235.1,1
Adamawa,Gayuk,2021,5.52,Medium,5.2,5.55,3.89,964,22,30,387.1,1
Adamawa,Gayuk,2022,5.87,Medium,5.27,6.83,4.84,836,14,36,451.9,3
Adamawa,Gayuk,2023,5.96,Medium,6.02,6.33,4.88,989,30,51,665.3,3
Adamawa,Gayuk,2024,5.86,Medium,5.95,5.41,3.39,1117,23,31,391.9,2
Akwa Ibom,Abak,2018,7.22,High,8.12,7.04,4.18,2595,17,18,223.2,2
Akwa Ibom,Abak,2019,7.73,High,8.68,7.5,3.7,2824,23,14,175.1,1
Akwa Ibom,Abak,2020,7.85,High,8.85,8.37,5.2,3100,23,17,217.2,2
Akwa Ibom,Abak,2021,8.15,High,9.38,8.63,5.26,2895,14,18,229.2,3
Akwa Ibom,Abak,2022,7.38,High,8.23,7.46,4.48,3351,25,18,240.3,3
Akwa Ibom,Abak,2023,8.01,High,8.18,8.85,3.99,3030,32,17,207.0,1
Akwa Ibom,Abak,2024,7.69,High,7.37,9.09,4.47,3087,37,36,474.0,1
Akwa Ibom,Eastern Obolo,2018,7.74,High,8.05,8.56,4.51,3052,16,19,244.4,2
Akwa Ibom,Eastern Obolo,2019,7.91,High,8.98,8.4,5.22,2450,21,22,279.6,2
Akwa Ibom,Eastern Obolo,2020,8.05,High,8.39,8.83,4.21,3197,22,29,355.2,1
Akwa Ibom,Eastern Obolo,2021,8.05,High,9.46,7.93,4.55,3279,27,24,294.0,2
Akwa Ibom,Eastern Obolo,2022,7.91,High,9.08,7.71,4.03,2881,26,34,423.6,2
Akwa Ibom,Eastern Obolo,2023,6.83,High,8.18,6.74,5.7,2938,27,36,479.7,1
Akwa Ibom,Eastern Obolo,2024,7.18,High,8.6,6.75,4.81,2809,17,35,463.3,1
Akwa Ibom,Eket,2018,7.16,High,7.19,7.6,3.8,3215,24,28,341.9,3
Akwa Ibom,Eket,2019,6.92,High,7.08,7.32,4.2,2879,21,19,232.9,2
Akwa Ibom,Eket,2020,7.29,High,7.36,8.24,4.75,3043,27,21,266.5,1
Akwa Ibom,Eket,2021,7.72,High,9.47,7.44,5.22,3023,18,20,244.8,3
Akwa Ibom,Eket,2022,7.91,High,8.5,8.58,4.62,3026,25,33,421.3,1
Akwa Ibom,Eket,2023,7.32,High,8.99,6.8,4.98,3464,20,34,420.4,1
Akwa Ibom,Eket,2024,6.67,Medium,7.4,7.04,5.54,3104,20,18,218.7,2
Akwa Ibom,Esit Eket,2018,8.03,High,9.25,8.1,4.55,2859,18,27,331.6,2
Akwa Ibom,Esit Eket,2019,7.72,High,7.86,8.54,4.19,2806,14,29,370.6,2
Akwa Ibom,Esit Eket,2020,7.08,High,7.6,7.87,5.56,2551,14,16,199.0,1
Akwa Ibom,Esit Eket,2021,7.22,High,8.05,7.18,4.35,3205,34,21,279.4,2
Akwa Ibom,Esit Eket,2022,7.33,High,7.84,7.45,3.94,3260,21,28,342.1,2
Akwa Ibom,Esit Eket,2023,6.7,High,7.48,6.8,5.07,3514,32,32,411.3,2
Akwa Ibom,Esit Eket,2024,8.07,High,9.4,8.54,5.55,3282,28,19,240.4,2
