year,place,lga,state,fpi_score,annual_rainfall_mm,population_exposed_thousands
2017,Awe,Awe,Nasarawa,9.69,196,0.562
2017,Awgu,Awgu,Enugu,6.68,1147,0.672
2017,Awja Awdaw,Egbado North,Ogun,5.62,1544,0.641
2017,Awka,Awka South,Anambra,7.95,1704,0.776
2017,Ayale,Dekina,Kogi,2.12,1111,0.642
2017,Ayangba,Dekina,Kogi,3.06,1585,0.813
2017,Ayere,Ijumu,Kogi,2.09,1879,0.837
2017,Azare,Katagum,Bauchi,2.17,857,0.649
2017,Babampa,Tsafe,Zamfara,9.45,404,0.882
2017,Babana,Borgu,Niger,5.73,1725,0.509
2017,Babura,Babura,Jigawa,5.64,1404,0.874
2017,BADAGRI,Badagry,Lagos,9.42,1944,0.718
2017,Badir,Chibok,Borno,5.34,1699,0.637
2017,Badu,Guzamala,Borno,2.06,265,0.617
2017,Baga,Kukawa,Borno,2.53,729,0.638
2017,Bagega,Anka,Zamfara,8.8,470,0.648
2017,Bagizza,Arewa-Dandi,Kebbi,9.29,351,0.883
2017,Bajida,Fakai,Kebbi,7.44,1661,0.715
2017,Bakara,Nasarawa,Nasarawa,2.12,149,0.7
2017,Bakoreji,Alkaleri,Bauchi,8.86,1312,0.933
2017,Bakori,Bakori,Katsina,9.5,928,0.99
2017,Bakundi,Bali,Taraba,3.23,1195,0.59
2017,BAMA,Bama,Borno,7.4,1580,0.516
2017,Bamgi,Gudu,Sokoto,2.35,1959,0.721
2017,Bandegi,Gbako,Niger,8.46,531,0.784
2017,Bani,Bagudo,Kebbi,7.2,499,0.885
2017,Bansara,Ogoja,Cross River,1.24,1259,0.679
2017,Bara,Kirfi,Bauchi,8.24,1164,0.831
2017,Barakin Ladi,Barikin Ladi,Plateau,3.86,576,0.748
2017,Barasa,Fufore,Adamawa,7.36,458,0.508
2017,Baro,Agaie,Niger,5.6,608,0.63
2017,Bashar,Wase,Plateau,9.48,991,0.692
2017,BAUCHI,Bauchi,Bauchi,7.33,1191,0.527
2017,Baure,Baure,Katsina,6.28,344,0.714
2017,Bear Town,Warri North,Delta,5.99,1133,0.962
2017,Bebeji,Bebeji,Kano,6.42,469,0.845
2017,Bele,Bagudo,Kebbi,2.37,1906,0.586
2017,Beli,Bali,Taraba,9.75,504,0.722
2017,Bena,Wasagu/Danko,Kebbi,3.76,1182,0.921
2017,Beni,Kirfi,Bauchi,5.96,602,0.922
2017,Beni,Muya,Niger,3.73,1735,0.639
2017,BENIN CITY,Oredo,Edo,2.61,1478,0.945
2017,Besse,Koko/Besse,Kebbi,3.53,1251,0.574
2017,Bichi,Bichi,Kano,2.86,378,0.544
2017,Bida,Monguno,Borno,2.65,106,0.532
2017,BIDA,Bida,Niger,5.05,343,0.527
2017,Bilachi,Fufore,Adamawa,7.77,1047,0.825
2017,BIN YAURI,Ngaski,Kebbi,5.25,1266,0.976
2017,Bingi,Bungudu,Zamfara,1.97,1951,0.724
2017,Birnin Bako,Sumaila,Kano,5.77,1866,0.909
2017,Birnin Gwari,Birnin-Gwari,Kaduna,4.21,1380,0.793
2017,Birnin Kebbi,Birnin Kebbi,Kebbi,4.73,1508,0.718
2017,Birnin Kudu,Birni Kudu,Jigawa,4.53,1566,0.941
2017,Birnin Tudu,Gummi,Zamfara,8.01,1525,0.861
2017,Birniwa,Biriniwa,Jigawa,9.47,1664,0.986
2017,Birri,Nafada,Gombe,4.46,1900,0.652
2017,Bissaula,Kurmi,Taraba,3.04,463,0.805
2017,BIU,Biu,Borno,9.98,472,0.532
2017,Biusare,Gulani,Yobe,9.64,1482,0.522
2017,Bobi,Mariga,Niger,1.29,690,0.66
2017,Boju Ega,Oturkpo,Benue,3.66,1058,0.999
2017,Bokanj,Mokwa,Niger,1.3,484,0.553
2017,Bokkos,Bokkos,Plateau,8.59,1346,0.704
2017,Bopo,Apa,Benue,9.02,1162,0.716
2017,Bornu Kiji,Fune,Yobe,9.27,1754,0.784
2017,Budo-Ago,Itesiwaju,Oyo,1.04,326,0.767
2017,Buga,Toto,Nasarawa,3.09,1440,0.924
2017,Bui,Arewa-Dandi,Kebbi,5.83,919,0.693
2017,BUKURU,Jos South,Plateau,6.45,572,0.999
2017,Bulabulin,Guzamala,Borno,2.44,1569,0.918
2017,Bulangu,Kafin Hausa,Jigawa,2.19,137,0.997
2017,Bulkachuwa,Katagum,Bauchi,8.41,1358,0.552
2017,Bulofa,Agaie,Niger,1.22,752,0.59
2017,Buluk Buluk,Yunusari,Yobe,6.06,780,0.525
2017,Buma,Hawul,Borno,7.23,769,0.679
2017,Bundi,Gubio,Borno,1.97,499,0.875
2017,Bungudu,Bungudu,Zamfara,2.47,1919,0.808
2017,Buni,Gujba,Yobe,5.61,1658,0.881
2017,Bunkari,Binji,Sokoto,6.34,1588,0.792
2017,Buratai,Biu,Borno,5.1,971,0.597
2017,Burji,Doguwa,Kano,2.54,876,0.559
2017,Buruku,Chikun,Kaduna,2.78,309,0.689
2017,Burumburum,Tudun Wada,Kano,1.56,379,0.512
2017,BURUTU,Burutu,Delta,8.54,1455,0.723
2017,Buya,Bagudo,Kebbi,2.05,1320,0.69
2017,CALABAR,Calabar South,Cross River,1.92,1365,0.677
2017,Charati,Lavun,Niger,4.36,1490,0.549
2017,Cheranchi,Charanchi,Katsina,9.25,1337,0.874
2017,Chibok,Chibok,Borno,8.25,292,0.887
2017,Chinade,Katagum,Bauchi,9.17,895,0.761
2017,Chinka,Ibi,Taraba,8.23,1289,0.591
2017,Chirawa,Geidam,Yobe,7.46,758,0.72
2017,Dababe,Toro,Bauchi,5.93,1120,0.51
2017,Dabalam,Tarmua,Yobe,6.83,1614,0.824
2017,Dadiya,Balanga,Gombe,6.42,1004,0.727
2017,Dagere,Birnin Kebbi,Kebbi,7.47,572,0.984
2017,Dakingari,Suru,Kebbi,1.73,1358,0.72
2017,Dalijam,Rabah,Sokoto,5.79,1152,0.548
2017,Dalla Jorau,Potiskum,Yobe,4.53,468,0.582
2017,Dalwa West,Konduga,Borno,7.03,1041,0.801
2017,Damaga,Maradun,Zamfara,3.12,1669,0.841
2017,DAMATURU,Damaturu,Yobe,4.75,360,0.869
2017,Dambam,Damban,Bauchi,1.43,1139,0.687
2017,Dambarta,Dambatta,Kano,7.93,876,0.933
2017,Damboa,Damboa,Borno,6.86,1835,0.652
2017,Damola,Ijebu North,Ogun,9.27,1285,0.779
2017,Damshin,Shendam,Plateau,3.11,157,0.963
2017,Dan Dume,Dandume,Katsina,6.89,1682,0.591
2017,Dan Gulbi,Maru,Zamfara,4.26,1881,0.901
2017,Dangara,Kwali,Federal Capital Territory,1.03,1126,0.625
2017,Dange,Dange-Shuni,Sokoto,9.64,1661,0.821
2017,Danja,Danja,Katsina,2.33,366,0.801
2017,Dapchi,Bursari,Yobe,8.75,1498,0.575
2017,Daraga,Maru,Zamfara,1.75,362,0.823
2017,Darana,Bagudo,Kebbi,7.83,1336,0.567
2017,Darma Galadima,Illela,Sokoto,5.66,1325,0.991
2017,Daudawa,Faskari,Katsina,5.86,147,0.774
2017,DAURA,Fune,Yobe,4.9,1703,0.551
2017,Daura,Daura,Katsina,1.86,747,0.749
2017,Deba Habe,Yamaltu/Deba,Gombe,6.55,1137,0.699
2017,Degema,Akuku Toru,Rivers,2.86,1756,0.815
2017,Dekala Gwejim,Borgu,Niger,1.81,1663,0.738
2017,Digimsa,Biriniwa,Jigawa,3.94,773,0.621
2017,Dikwa,Dikwa,Borno,2.51,1821,0.591
2017,Dilla,Shomgom,Gombe,5,1065,0.691
2017,Dipchari,Bama,Borno,8.21,1221,0.83
2017,Dirindaji,Sakaba,Kebbi,3.7,1740,0.893
2017,Doili,Gubio,Borno,8.87,1721,0.655
2017,Dokan Tofa,Shendam,Plateau,3.21,433,0.998
2017,Doma,Doma,Nasarawa,8.21,1144,0.544
2017,Dong,Demsa,Adamawa,7.3,188,0.644
2017,Donga,Donga,Taraba,5.27,404,0.873
2017,Doufoumbara,Zurmi,Zamfara,5.35,942,0.8
2017,Doumbourou,Zurmi,Zamfara,3.88,1701,0.878
2017,Duchin Magaji,Mashegu,Niger,4.03,827,0.553
2017,Dudu,Mobbar,Borno,1.36,995,0.988
2017,Dukku,Dukku,Gombe,7.95,1197,0.56
2017,Duku,Rijau,Niger,9.34,1348,0.765
2017,Dull,Tafawa-Balewa,Bauchi,2.1,426,0.63
2017,Dumaji,Edu,Kwara,9.71,1549,0.979
2017,Dumburum,Tarmua,Yobe,8.41,1567,0.95
2017,Dunari,Malam Madori,Jigawa,1.19,811,0.927
2017,Duni,Atakumosa East,Osun,8.11,423,0.952
2017,Dure Karguma,Gwoza,Borno,9.33,1841,0.524
2017,Duru,Dutse,Jigawa,9.81,472,0.769
2017,Dutsi,Dutsi,Katsina,5.29,1225,0.691
2017,Dutsin Ma,Dutsin-Ma,Katsina,5.09,1059,0.669
2017,Eban,Mashegu,Niger,2.55,465,0.616
2017,EBUTE METTA,Lagos Mainland,Lagos,4.45,639,0.743
2017,EDDE,Ede North,Osun,2.31,1030,0.61
2017,Effon-Alaiye,Oriade,Osun,9.26,567,0.674
2017,Egbe,Yagba West,Kogi,4.83,1738,0.926
2017,EHA-AMUFU,Isi-Uzo,Enugu,8.75,515,0.559
2017,Ehor,Uhunmwonde,Edo,2.39,525,0.636
2017,Ejigbo,Ejigbo,Osun,8.36,317,0.851
2017,ENUGU,Enugu North,Enugu,8.7,623,0.699
2017,ENUGU-EZIKE,Igbo-Eze North,Enugu,8.5,1524,0.566
2017,Epe,Epe,Lagos,7.57,1403,0.989
2017,Eruwa,Ibarapa East,Oyo,2.94,1408,0.539
2017,Esabang,Obubra,Cross River,9.4,1744,0.516
2017,Fagan Kawo,Sule-Tankarkar,Jigawa,3.92,854,0.598
2017,Falali,Sumaila,Kano,5.76,1682,0.534
2017,Faskari,Faskari,Katsina,8.42,1622,0.663
2017,Fellagi,Mashegu,Niger,5.92,1235,0.985
2017,Fika,Fika,Yobe,5.3,1488,0.502
2017,Fokku,Kebbe,Sokoto,3.39,1812,0.759
2017,Foniweitoro,Southern Ijaw,Bayelsa,1.83,392,0.667
2017,Forcados,Burutu,Delta,8.04,1007,0.929
2017,Frukama,Bomadi,Delta,8.5,1093,0.649
2017,Fuka,Muya,Niger,1.41,444,0.758
2017,FUNTUA,Funtua,Katsina,2.9,343,0.919
2017,Fuskam Mata,Bassa,Plateau,5.74,1951,0.686
2017,Gabarin,Darazo,Bauchi,1.23,1414,0.656
2017,Gada,Gada,Sokoto,6.27,987,0.749
2017,Gadam,Kwami,Gombe,2.94,1007,0.854
2017,Gadau,Itas/Gadau,Bauchi,4.89,1321,0.834
2017,Gadna,Shiroro,Niger,2.44,553,0.756
2017,Gafiya,Kaita,Katsina,4.69,405,0.997
2017,Gajale,Bebeji,Kano,1.83,1590,0.989
2017,Gajiram,Nganzai,Borno,7.41,172,0.76
2017,Galadi,Maigatari,Jigawa,1.51,840,0.797
2017,Galadi,Shinkafi,Zamfara,6.24,932,0.531
2017,Gamawa,Gamawa,Bauchi,5.75,1686,0.519
2017,Gamu,Ganye,Adamawa,8.61,1227,0.719
2017,Gana,Mokwa,Niger,2.63,537,0.506
2017,Ganegi,Edati,Niger,2.29,120,0.75
2017,Ganga,Chikun,Kaduna,5.49,279,0.91
2017,Gangara,Giwa,Kaduna,8.6,625,0.631
2017,Ganua,Tambuwal,Sokoto,1.76,1713,0.784
2017,Garki,Garki,Jigawa,1.57,683,0.773
2017,Garkida,Gombi,Adamawa,2.5,1394,0.937
2017,Garko,Garko,Kano,4.97,1700,0.803
2017,Garun Gabbas,Malam Madori,Jigawa,8.39,764,0.836
2017,Garun Kurama,Lere,Kaduna,4.1,1175,0.855
2017,Garunguna,Karasuwa,Yobe,9.22,339,0.672
2017,Gashagar,Mobbar,Borno,7.76,310,0.943
2017,Gashua,Bade,Yobe,8.26,1797,0.529
2017,Gaska,Fune,Yobe,5.33,1551,0.538
2017,Gaya,Gaya,Kano,2.88,1498,0.524
2017,Gayar,Alkaleri,Bauchi,1.14,847,0.663
2017,Gbaki,Mokwa,Niger,3.54,1374,0.843
2017,Gberia,Kaiama,Kwara,6.24,579,0.581
2017,GBOKO,Gboko,Benue,2.27,1290,0.614
2017,Gbongan,Aiyedade,Osun,8.42,1925,0.535
2017,Geauri,Tsafe,Zamfara,7.75,1656,0.783
2017,Geidam,Geidam,Yobe,5.86,1774,0.784
2017,Gereng,Girei,Adamawa,5.38,485,0.91
2017,Gerkawa,Mikang,Plateau,3.39,1820,0.844
2017,Geza,Dandi,Kebbi,3.46,617,0.701
2017,Gezawa,Gezawa,Kano,9.7,1523,0.695
2017,Gidan Bahagu,Kachia,Kaduna,5.07,305,0.502
2017,Gidan Makera,Illela,Sokoto,9.94,1789,0.58
2017,Gidan Rai,Doma,Nasarawa,8.86,893,0.683
2017,Gimi,Markafi,Kaduna,8.4,1922,0.597
2017,Gindiri,Mangu,Plateau,5.14,492,0.855
2017,Giro,Suru,Kebbi,5.86,1833,0.964
2017,Giro-Masa,Shanga,Kebbi,7.43,803,0.545
2017,Gitata,Karu,Nasarawa,1.69,933,0.84
2017,Golbembal,Gassol,Taraba,7.64,1833,0.913
2017,GOMBE,Gombe,Gombe,9.01,1551,0.948
2017,Goniri,Gujba,Yobe,2.35,529,0.541
2017,Gubber,Tarmua,Yobe,4.18,1413,0.748
2017,Gubi,Bauchi,Bauchi,3.45,1274,0.703
2017,Gubugbu,Edu,Kwara,4.24,1513,0.746
2017,Gudi,Akwanga,Nasarawa,4.91,1484,0.646
2017,Guga,Bakori,Katsina,8.03,846,0.667
2017,Guidan Kurau,Sabon Birni,Sokoto,5.54,677,0.667
2017,Gujba,Gujba,Yobe,8.93,1144,0.625
2017,Gulani,Gulani,Yobe,4.04,1527,0.799
2017,Gulbin Boka,Mariga,Niger,9.59,930,0.9
2017,Gulu,Lapai,Niger,4.13,1166,0.841
2017,Gulumba Gana,Bama,Borno,2.75,1285,0.613
2017,Guma,Mashi,Katsina,1.57,107,0.928
2017,GUMEL,Gumel,Jigawa,1.59,1032,0.681
2017,Gummi,Gummi,Zamfara,5.87,151,0.958
2017,Gumsa,Geidam,Yobe,2.55,1022,0.624
2017,Gumsi,Machina,Yobe,7.57,348,0.798
2017,Gurai,Magama,Niger,9.15,1032,0.7
2017,Gurin,Fufore,Adamawa,2.1,1744,0.88
2017,Gusau,Gusau,Zamfara,8.25,1008,0.692
2017,Gwadadi,Rabah,Sokoto,4.3,687,0.81
2017,Gwagwada,Chikun,Kaduna,2.24,1961,0.905
2017,Gwanara,Baruten,Kwara,2.37,1914,0.814
2017,GWARAM,Gwaram,Jigawa,5.66,1064,0.586
2017,Gwasero,Baruten,Kwara,1.72,1120,0.63
2017,Gwashi,Bukkuyum,Zamfara,4.27,1026,0.542
2017,HADEJIA,Hadejia,Jigawa,3.06,1255,0.781
2017,Hamdullahi,Albasu,Kano,6.63,1693,0.893
2017,Harbo,Jahun,Jigawa,3.73,1512,0.551
2017,Hardo Buba,Biriniwa,Jigawa,6.42,316,0.938
2017,Hong,Hong,Adamawa,3.89,1246,0.825
2017,IBADAN,Ibadan North West,Oyo,1.43,564,0.586
2017,Ibeto,Magama,Niger,4.66,826,0.937
2017,Ibi,Ibi,Taraba,8.18,651,0.753
2017,Ibillo,Akoko-Edo,Edo,6.03,650,0.902
2017,Iboro,Egbado North,Ogun,6.72,1447,0.834
2017,Ida,Kagarko,Kaduna,3.58,1294,0.964
2017,Idah,Idah,Kogi,5.44,1533,0.777
2017,Idanre,Idanre,Ondo,2.47,234,0.608
2017,Idi-lya,Ido,Oyo,6.74,1811,0.695
2017,Idoani,Ose,Ondo,6.46,918,0.578
2017,Idon,Kauru,Kaduna,9.92,1653,0.9
2017,Ifaki,Ido-Osi,Ekiti,1.14,1808,0.506
2017,Ife,Yagba East,Kogi,5.64,935,0.586
2017,IFE,Ife East,Osun,1.66,883,0.809
2017,Iferri,Mariga,Niger,7.37,1543,0.761
2017,Ifon,Ose,Ondo,8.33,542,0.954
2017,Igabi,Igabi,Kaduna,1.75,1472,0.918
2017,Igana,Iwajowa,Oyo,9.67,1245,0.771
2017,Igangan,Ibarapa North,Oyo,5.24,1381,0.877
2017,Igbaja,Ifelodun,Kwara,3.23,1126,0.984
2017,Igbara-Odo,Ekiti South West,Ekiti,9.35,1462,0.632
2017,Igbekhue,Orhionmwon,Edo,8.08,1230,0.779
2017,Igbessa,Ado-Odo/Ota,Ogun,1.3,292,0.599
2017,Igbetti,Olorunsogo,Oyo,2.25,1142,0.691
2017,Igbo Ora,Ibarapa Central,Oyo,6.17,1127,0.634
2017,Igboho,Orelope,Oyo,4,1293,0.837
2017,Igbor,Gwer East,Benue,9.3,315,0.881
2017,Igbotako,Okitipupa,Ondo,6.85,1148,0.71
2017,Ignohemwen,Ovia North East,Edo,9.87,1344,0.802
2017,Igumale,Ado,Benue,9.36,645,0.899
2017,IHIALA,Ihiala,Anambra,9.01,370,0.991
2017,IJEBU-ODE,Ijebu Ode,Ogun,1.01,188,0.696
2017,Ijero,Ijero,Ekiti,1.01,913,0.819
2017,Ikang,Akpabuyo,Cross River,3.55,1962,0.636
2017,Ikara,Ikara,Kaduna,8.06,347,0.964
2017,Ikerre,Ikere,Ekiti,8.91,1722,0.679
2017,IKIRE,Isokan,Osun,2.65,914,0.783
2017,IKIRUN,Ifelodun,Osun,8.36,337,0.847
2017,IKOM,Ikom,Cross River,9.32,1078,0.741
2017,IKORODU,Ikorodu,Lagos,8.81,560,0.941
2017,Ikosi,Epe,Lagos,6.24,485,0.628
2017,Ikot Ubo,Nsit Ubium,Akwa Ibom,4.55,1812,0.744
2017,Ikot-Ekpene,Ikot Ekpene,Akwa Ibom,7.14,846,0.642
2017,ILA ORANGUN,Ila,Osun,6.29,1668,0.624
2017,Ilaro,Egbado South,Ogun,9.41,241,0.831
2017,ILESHA,Ilesha East,Osun,9.81,1248,0.528
2017,Ilesha-Ibariba,Baruten,Kwara,9.96,1179,0.854
2017,Illo,Bagudo,Kebbi,7.8,1999,0.592
2017,ILORIN,Ilorin West,Kwara,8.57,1574,0.622
2017,Ilumawfin,Epe,Lagos,9.82,1398,0.517
2017,Ilu-Omoba,Aiyekire (Gbonyin),Ekiti,1.9,1977,0.797
2017,Imorun,Odigbo,Ondo,3.12,1599,0.684
2017,Ingawa,Ingawa,Katsina,6.78,1431,0.504
2017,Inyanagu,,,3.12,1659,0.623
2017,Ipetu,Oriade,Osun,2.47,753,0.899
2017,Iporo,Oye,Ekiti,3.26,721,0.917
2017,Iranyin,Surulere,Oyo,6.99,1629,0.872
2017,Irele,Irele,Ondo,9.59,578,0.914
2017,Iri,Rijau,Niger,9.19,154,0.645
2017,Irrua,Esan Central,Edo,9.49,1565,0.953
2017,ISA,Isa,Sokoto,2.24,1136,0.865
2017,Isampo,Bomadi,Delta,9.38,1676,0.965
2017,Isanlu-Esa,Yagba West,Kogi,5.71,321,0.604
2017,Ise,Ise/Orun,Ekiti,3.04,1543,0.822
2017,ISEYIN,Iseyin,Oyo,6.69,1930,0.544
2017,Ishaga,Oshodi-Isolo,Lagos,5.46,1193,0.669
2017,Itapa,Oye,Ekiti,4.36,308,0.675
2017,Itas,Itas/Gadau,Bauchi,6.88,1391,0.666
2017,Itobe,Ofu,Kogi,1.89,1363,0.806
2017,Iwerekun,Ibeju/Lekki,Lagos,8.85,1044,0.79
2017,IWO,Iwo,Osun,4.81,494,0.767
2017,Iyahe,Yala,Cross River,2.94,1184,0.966
2017,Izge Rana,Gwoza,Borno,4.48,1726,0.837
2017,Izom,Gurara,Niger,8.17,894,0.786
2017,J. Abdullahi,Bali,Taraba,1.83,1445,0.548
2017,Jada,Jada,Adamawa,4.01,1239,0.575
2017,Jajibiriri,Yunusari,Yobe,3.47,466,0.635
2017,Jakusko,Jakusko,Yobe,3.23,656,0.84
2017,Jalam,Damban,Bauchi,6.23,588,0.546
2017,JALINGO,Jalingo,Taraba,6.96,403,0.686
2017,JAMAARE,Jama'are,Bauchi,2.41,453,0.73
2017,Jambako,Maradun,Zamfara,9.86,1495,0.587
2017,Jarang,Mayo-Belwa,Adamawa,7.04,250,0.951
2017,Jarmowo,Giade,Bauchi,8.63,478,0.599
2017,JEBBA,Moro,Kwara,2.7,1561,0.622
2017,Jega,Jega,Kebbi,7.28,638,0.953
2017,Jege,Yagba East,Kogi,3.37,428,0.867
2017,Jen,Lau,Taraba,8.77,510,0.86
2017,Jere,Kagarko,Kaduna,7.66,1694,0.886
2017,Jiberu,Girei,Adamawa,9.47,321,0.864
2017,Jibiya,Jibia,Katsina,3.36,170,0.905
2017,Jilli,Gubio,Borno,7.66,1393,0.503
2017,Jima,Gbako,Niger,8.51,1274,0.608
2017,Jimeta,Yola North,Adamawa,2.2,1555,0.505
2017,Jinjere,Kogi,Kogi,1.75,1596,0.539
2017,JOS,Jos North,Plateau,8.11,709,0.702
2017,KABBA,Kabba/Bunu,Kogi,3.67,807,0.849
2017,Kabogi,Mashegu,Niger,7.14,887,0.961
2017,Kachako,Takai,Kano,1.07,269,0.62
2017,Kachia,Kachia,Kaduna,3.98,1975,0.804
2017,Kadagiwa,Wurno,Sokoto,7.19,1490,0.922
2017,Kadaura,Birnin-Gwari,Kaduna,4.08,1206,0.985
2017,Kade,Shanga,Kebbi,2.29,1765,0.51
2017,KADUNA,Kaduna North,Kaduna,8.99,884,0.51
2017,KAFANCHAN,Jema'a,Kaduna,5.74,1209,0.687
2017,Kafin,Paikoro,Niger,8.43,440,0.557
2017,Kagarko,Kagarko,Kaduna,4.21,1383,0.508
2017,Kaiama,Kaiama,Kwara,8.41,825,0.893
2017,Kaingwa,Arewa-Dandi,Kebbi,4.97,798,0.6
2017,Kainyehu,Toto,Nasarawa,4.06,1116,0.913
2017,Kajiji,Shagari,Sokoto,6.48,911,0.589
2017,Kakangi,Birnin-Gwari,Kaduna,8.9,275,0.661
2017,Kala Kafra,Kala/Balge,Borno,8.66,716,0.679
2017,Kalgo,Kalgo,Kebbi,2.66,568,0.886
2017,Kali,Borgu,Niger,1.58,1343,0.529
2017,Kalmai,Billiri,Gombe,7.49,306,0.759
2017,Kamba,Dandi,Kebbi,5.36,1503,0.805
2017,KANGI,Shanga,Kebbi,8.26,1352,0.562
2017,Kankara,Kankara,Katsina,6.85,1412,0.526
2017,Kankiya,Kankia,Katsina,9.39,1266,0.849
2017,Kanya Baba,Babura,Jigawa,6.35,841,0.705
2017,Karagu,Yunusari,Yobe,1.32,1133,0.647
2017,Karama,Gagarawa,Jigawa,1.88,1291,0.989
2017,Karauchi,Maru,Zamfara,1.29,897,0.987
2017,Karaye,Karaye,Kano,6.62,921,0.629
2017,Kare,Fika,Yobe,9.33,1269,0.826
2017,Kariari,Bursari,Yobe,4.62,136,0.581
2017,Karim Lamido,Karim-Lamido,Taraba,2.35,1579,0.51
2017,Karo,Mokwa,Niger,5.06,1448,0.824
2017,Karshi,Abuja Municipal,Federal Capital Territory,9.42,1946,0.96
2017,Karunji,Baruten,Kwara,5.36,1333,0.881
2017,Kataergi,Katcha,Niger,2.92,1389,0.913
2017,Katagum,Zaki,Bauchi,6.21,1619,0.815
2017,Katami,Silame,Sokoto,4.81,424,0.792
2017,Katamma,Jakusko,Yobe,2.56,1481,0.96
2017,KATSINA,Katsina,Katsina,7.54,922,0.732
2017,KATSINA ALA,Katsina-Ala,Benue,8.49,1301,0.594
2017,Kaugama,Kaugama,Jigawa,8.54,1051,0.688
2017,Kaura Namoda,Kaura Namoda,Zamfara,8.26,1989,0.957
2017,Kazaure,Kazaure,Jigawa,3.48,1234,0.843
2017,Keana,Keana,Nasarawa,4.1,848,0.686
2017,Kebbe,Kebbe,Sokoto,6.06,1017,0.862
2017,KEFFI,Keffi,Nasarawa,3.92,1897,0.815
2017,Keffin Hausa,Kafin Hausa,Jigawa,9.73,1557,0.942
2017,Kembu,Ngaski,Kebbi,4.8,507,0.567
2017,Kende,Bagudo,Kebbi,5.72,773,0.91
2017,Kenu,Baruten,Kwara,2.17,1824,0.517
2017,Kerun,Bukkuyum,Zamfara,1.34,524,0.915
2017,Kesangala,Nganzai,Borno,7.46,524,0.787
2017,Kilogbe,Baruten,Kwara,1.27,1363,0.925
2017,Kinsha,Gamawa,Bauchi,9.45,1277,0.81
2017,Kiri,Shelleng,Adamawa,5.56,832,0.822
